"","species","count"
"191","Anthidium tesselatum",10
"192","Anthidium undulatum",5
"193","Anthophora aestivalis",1567
"194","Anthophora atroalba",63
"195","Anthophora bimaculata",1780
"196","Anthophora diversipes",89
"197","Anthophora furcata",5467
"198","Anthophora plumipes",27373
"199","Anthophora quadrimaculata",3870
"200","Arhysosage cactorum",210
"201","Augochlora pura",18202
"202","Augochlorella aurata",37260
"203","Bombus affinis",10076
"204","Bombus alpinus",1496
"205","Bombus argillaceus",1179
"206","Bombus armeniacus",45
"207","Bombus auricomus",9416
"208","Bombus balteatus",4118
"209","Bombus bimaculatus",42308
"210","Bombus borealis",7043
"211","Bombus brodmannicus",9
"212","Bombus confusus",506
"213","Bombus cullumanus",126
"214","Bombus distinguendus",4387
"215","Bombus fervidus",22730
"216","Bombus fragrans",52
"217","Bombus frigidus",7393
"218","Bombus griseocollis",61793
"219","Bombus haematurus",284
"220","Bombus hortorum",59875
"221","Bombus humilis",18231
"222","Bombus hypnorum",169601
"223","Bombus impatiens",143207
"224","Bombus incertus",8
"225","Bombus lapidarius",166823
"226","Bombus lapponicus",4556
"227","Bombus lucorum",87064
"228","Bombus melanurus",48
"229","Bombus mendax",1265
"230","Bombus mesomelas",1943
"231","Bombus monticola",6780
"232","Bombus mucidus",992
"233","Bombus muscorum",8574
"234","Bombus niveatus",82
"235","Bombus pascuorum",307511
"236","Bombus pensylvanicus",48277
"237","Bombus perplexus",13468
"238","Bombus pomorum",647
"239","Bombus pratorum",113144
"240","Bombus ruderarius",10604
"241","Bombus ruderatus",3754
"242","Bombus rufocinctus",18411
"243","Bombus sichelii",2960
"244","Bombus soroeensis",19049
"245","Bombus sporadicus",2576
"246","Bombus subterraneus",4994
"247","Bombus sylvarum",16198
"248","Bombus ternarius",27150
"249","Bombus terrestris",190780
"250","Bombus terricola",21825
"251","Bombus vagans",22807
"252","Bombus veteranus",4414
"253","Bombus wurflenii",7767
"254","Bombus zonatus",119
"255","Camptopoeum friesei",132
"256","Camptopoeum frontale",126
"257","Camptopoeum sacrum",4
"258","Capicola micheneri",26
"259","Centris nitida",1072
"260","Ceratina calcarata",14476
"261","Ceratina dupla",6687
"262","Ceratina mikmaqi",4024
"263","Chalepogenus cocuccii",59
"264","Chelostoma aureocinctum",12
"265","Chelostoma californicum",780
"266","Chelostoma campanularum",8203
"267","Chelostoma diodon",14
"268","Chelostoma distinctum",903
"269","Chelostoma emarginatum",72
"270","Chelostoma florisomne",8958
"271","Chelostoma foveolatum",84
"272","Chelostoma grande",344
"273","Chelostoma incisulum",99
"274","Chelostoma minutum",483
"275","Chelostoma mocsaryi",9
"276","Chelostoma phaceliae",563
"277","Chelostoma philadelphi",1044
"278","Chelostoma rapunculi",9111
"279","Chelostoma ventrale",6
"280","Clavipanurgus punctiventris",21
"281","Colletes abeillei",47
"282","Colletes acutus",13
"283","Colletes albomaculatus",72
"284","Colletes brevigena",9
"285","Colletes capensis",384
"286","Colletes carinatus",12
"287","Colletes cariniger",19
"288","Colletes caskanus",14
"289","Colletes collaris",120
"290","Colletes consors",445
"291","Colletes cunicularius",16416
"292","Colletes daviesanus",10506
"293","Colletes dorsalis",7
"294","Colletes dusmeti",5
"295","Colletes eous",44
"296","Colletes floralis",1390
"297","Colletes fodiens",1114
"298","Colletes foveolaris",15
"299","Colletes gallicus",37
"300","Colletes graeffei",4
"301","Colletes halophilus",740
"302","Colletes hederae",12815
"303","Colletes hethiticus",40
"304","Colletes hylaeiformis",90
"305","Colletes impunctatus",892
"306","Colletes inaequalis",5291
"307","Colletes inexpectatus",65
"308","Colletes kincaidii",8155
"309","Colletes lacunatus",71
"310","Colletes ligatus",9
"311","Colletes maidli",21
"312","Colletes marginatus",891
"313","Colletes mlokossewiczi",114
"314","Colletes nanus",39
"315","Colletes nasutus",71
"316","Colletes nigricans",418
"317","Colletes perezi",25
"318","Colletes petalostemonis",485
"319","Colletes pulchellus",7
"320","Colletes pumilus",34
"321","Colletes punctatus",11
"322","Colletes rufotibialis",60
"323","Colletes sierrensis",30
"324","Colletes similis",2830
"325","Colletes simulans",1938
"326","Colletes succinctus",3487
"327","Colletes thoracicus",1642
"328","Colletes tuberculatus",9
"329","Colletes validus",392
"330","Dasypoda argentata",756
"331","Dasypoda braccata",13
"332","Dasypoda cingulata",15
"333","Dasypoda crassicornis",28
"334","Dasypoda dusmeti",6
"335","Dasypoda hirtipes",22997
"336","Dasypoda maura",6
"337","Dasypoda morotei",13
"338","Dasypoda sinuata",7
"339","Dasypoda spinigera",56
"340","Dasypoda visnaga",24
"341","Diadasia angusticeps",109
"342","Diadasia diminuta",5369
"343","Diadasia enavata",2151
"344","Diadasia laticauda",342
"345","Diadasia nigrifrons",412
"346","Diadasia ochracea",3421
"347","Diadasia sphaeralcearum",410
"348","Diadasia tropicalis",152
"349","Diadasia vallicola",543
"350","Diadasina riparia",166
"351","Dufourea alpina",488
"352","Dufourea dentiventris",2573
"353","Dufourea halictula",386
"354","Dufourea inermis",407
"355","Dufourea minuta",459
"356","Dufourea monardae",181
"357","Dufourea paradoxa",240
"358","Eoanthidium clypeare",4
"359","Eoanthidium insulare",9
"360","Eucera alternans",6
"361","Eucera caspica",30
"362","Eucera clypeata",63
"363","Eucera cypria",6
"364","Eucera elongatula",24
"365","Eucera eucnemidea",10
"366","Eucera frater",925
"367","Eucera furfurea",12
"368","Eucera interrupta",285
"369","Eucera longicornis",7664
"370","Eucera nigrescens",3543
"371","Eucera nigrifacies",50
"372","Eucera nigrilabris",106
"373","Eucera notata",17
"374","Eucera primiveris",320
"375","Eucera proxima",24
"376","Eucera taurica",45
"377","Euglossa cordata",3635
"378","Eulaema nigrita",2812
"379","Euryglossa aureophila",27
"380","Euryglossa morrisoni",97
"381","Flavipanurgus kastiliensis",7
"382","Haetosmia circumventa",42
"383","Halictus confusus",15111
"384","Halictus crenicornis",13
"385","Halictus ligatus",44196
"386","Halictus maculatus",3022
"387","Halictus pollinosus",83
"388","Halictus quadricinctus",1391
"389","Halictus rubicundus",28745
"390","Halictus scabiosae",14952
"391","Halictus subauratus",3242
"392","Halictus tumulorum",26505
"393","Heriades carinata",3092
"394","Hoplitis adunca",3673
"395","Hoplitis annulata",36
"396","Hoplitis anthocopoides",543
"397","Hoplitis benoisti",89
"398","Hoplitis bihamata",26
"399","Hoplitis carinata",12
"400","Hoplitis cristatula",70
"401","Hoplitis fertoni",10
"402","Hoplitis hierichonica",5
"403","Hoplitis lepeletieri",744
"404","Hoplitis loti",766
"405","Hoplitis manicata",36
"406","Hoplitis mitis",1021
"407","Hoplitis monstrabilis",7
"408","Hoplitis mucida",7
"409","Hoplitis pallicornis",25
"410","Hoplitis pici",7
"411","Hoplitis pilosifrons",1853
"412","Hoplitis praestans",47
"413","Hoplitis ravouxi",386
"414","Hoplitis robusta",663
"415","Hoplitis tuberculata",1553
"416","Hoplitis villosa",590
"417","Hylaeus alpinus",418
"418","Hylaeus angustatus",2130
"419","Hylaeus annulatus",7275
"420","Hylaeus brevicornis",6101
"421","Hylaeus clypearis",443
"422","Hylaeus communis",20312
"423","Hylaeus confusus",13406
"424","Hylaeus cornutus",576
"425","Hylaeus crassanus",45
"426","Hylaeus dilatatus",2585
"427","Hylaeus duckei",58
"428","Hylaeus gibbus",1236
"429","Hylaeus glacialis",79
"430","Hylaeus gredleri",1852
"431","Hylaeus hyalinatus",10659
"432","Hylaeus incongruus",1665
"433","Hylaeus kahri",386
"434","Hylaeus leptocephalus",1762
"435","Hylaeus moricei",49
"436","Hylaeus nigritus",2816
"437","Hylaeus nivalis",277
"438","Hylaeus paulus",166
"439","Hylaeus pectoralis",1707
"440","Hylaeus pfankuchi",222
"441","Hylaeus pictipes",1058
"442","Hylaeus pilosulus",45
"443","Hylaeus rinki",1560
"444","Hylaeus signatus",3561
"445","Hylaeus sinuatus",1225
"446","Hylaeus styriacus",761
"447","Hylaeus taeniolatus",282
"448","Hylaeus tyrolensis",120
"449","Hylaeus variegatus",1396
"450","Icteranthidium fedtschenkoi",4
"451","Icteranthidium ferrugineum",48
"452","Icteranthidium grohmanni",127
"453","Icteranthidium laterale",355
"454","Lasioglossum acuminatum",940
"455","Lasioglossum albipes",16432
