species_original,species_clean,plant_fam_count,plant_gen_count,bee_family,bee_genus
Osmia bicolor,Osmia bicolor,8,12,Megachilidae,Osmia
Osmia bucephala,Osmia bucephala,6,8,Megachilidae,Osmia
Osmia conjuncta,Osmia conjuncta,4,6,Megachilidae,Osmia
Osmia pumila,Osmia pumila,7,10,Megachilidae,Osmia
Panurginus albopilosus,Panurginus albopilosus,1,1,Andrenidae,Panurginus
Panurgus calceatus,Panurgus calceatus,1,5,Andrenidae,Panurgus
Panurgus canescens,Panurgus canescens,1,2,Andrenidae,Panurgus
Panurgus cephalotes,Panurgus cephalotes,1,5,Andrenidae,Panurgus
Panurgus maroccanus,Panurgus maroccanus,1,3,Andrenidae,Panurgus
Panurgus perezi,Panurgus perezi,1,1,Andrenidae,Panurgus
Perdita octomaculata,Perdita octomaculata,1,1,Andrenidae,Perdita
Pseudopanurgus aestivalis,Pseudopanurgus aestivalis,1,1,Andrenidae,Pseudopanurgus
Trachusa byssina,Trachusa byssina,5,8,Megachilidae,Trachusa
Xylocopa virginica,Xylocopa virginica,8,13,Apidae,Xylocopa
