"","all_hulls$species","species"
"708","Dasypoda braccata","Dasypoda braccata"
"709","Dasypoda cingulata","Dasypoda cingulata"
"710","Dasypoda crassicornis","Dasypoda crassicornis"
"711","Dasypoda dusmeti","Dasypoda dusmeti"
"712","Dasypoda hirtipes","Dasypoda hirtipes"
"713","Dasypoda maura","Dasypoda maura"
"714","Dasypoda morotei","Dasypoda morotei"
"715","Dasypoda pyriformis","Dasypoda pyriformis"
"716","Dasypoda pyrotrichia","Dasypoda pyrotrichia"
"717","Dasypoda sinuata","Dasypoda sinuata"
"718","Dasypoda spinigera","Dasypoda spinigera"
"719","Dasypoda visnaga","Dasypoda visnaga"
"720","Macropis europaea","Macropis europaea"
"721","Macropis fulvipes","Macropis fulvipes"
"722","Macropis nuda","Macropis nuda"
"723","Meganomia binghami","Meganomia binghami"
"724","Melitta dimidiata","Melitta dimidiata"
"725","Melitta haemorrhoidalis","Melitta haemorrhoidalis"
"726","Melitta leporina","Melitta leporina"
"727","Melitta nigricans","Melitta nigricans"
"728","Melitta tricincta","Melitta tricincta"
"729","Samba ogilviei","Samba ogilviei"
