"","all_hulls$species","species"
"301","Eucera elongatula","Eucera elongatula"
"302","Eucera eucnemidea","Eucera eucnemidea"
"303","Eucera frater","Eucera frater"
"304","Eucera furfurea","Eucera furfurea"
"305","Eucera interrupta","Eucera interrupta"
"306","Eucera longicornis","Eucera longicornis"
"307","Eucera nigrescens","Eucera nigrescens"
"308","Eucera nigrifacies","Eucera nigrifacies"
"309","Eucera nigrilabris","Eucera nigrilabris"
"310","Eucera notata","Eucera notata"
"311","Eucera primiveris","Eucera primiveris"
"312","Eucera proxima","Eucera proxima"
"313","Eucera spectabilis","Eucera spectabilis"
"314","Eucera taurica","Eucera taurica"
"315","Euglossa cordata","Euglossa cordata"
"316","Eulaema nigrita","Eulaema nigrita"
"317","Melipona mimetica","Melipona mimetica"
"318","Melissodes desponsus","Melissodes desponsus"
"319","Melissodes illatus","Melissodes illatus"
"320","Melissodes subillatus","Melissodes subillatus"
"321","Melitoma segmentaria","Melitoma segmentaria"
"322","Melitomella murihirta","Melitomella murihirta"
"323","Peponapis michelbacherorum","Peponapis michelbacherorum"
"324","Peponapis pruinosa","Peponapis pruinosa"
"325","Peponapis utahensis","Peponapis utahensis"
"326","Ptilothrix bombiformis","Ptilothrix bombiformis"
"327","Ptilothrix plumata","Ptilothrix plumata"
"328","Xenoglossa angustior","Xenoglossa angustior"
"329","Xenoglossa patricia","Xenoglossa patricia"
"330","Xenoglossa strenua","Xenoglossa strenua"
"331","Xylocopa virginica","Xylocopa virginica"
"332","Actenosigynes mantiqueirensis","Actenosigynes mantiqueirensis"
"333","Colletes abeillei","Colletes abeillei"
"334","Colletes acutiformis","Colletes acutiformis"
"335","Colletes acutus","Colletes acutus"
"336","Colletes albomaculatus","Colletes albomaculatus"
"337","Colletes americanus","Colletes americanus"
"338","Colletes anchusae","Colletes anchusae"
"339","Colletes brevigena","Colletes brevigena"
"340","Colletes capensis","Colletes capensis"
"341","Colletes carinatus","Colletes carinatus"
"342","Colletes cariniger","Colletes cariniger"
"343","Colletes caskanus","Colletes caskanus"
"344","Colletes collaris","Colletes collaris"
"345","Colletes compactus","Colletes compactus"
"346","Colletes cunicularius","Colletes cunicularius"
"347","Colletes daviesanus","Colletes daviesanus"
"348","Colletes dorsalis","Colletes dorsalis"
"349","Colletes dusmeti","Colletes dusmeti"
"350","Colletes eous","Colletes eous"
"351","Colletes escalerai","Colletes escalerai"
"352","Colletes floralis","Colletes floralis"
"353","Colletes fodiens","Colletes fodiens"
"354","Colletes foveolaris","Colletes foveolaris"
"355","Colletes gallicus","Colletes gallicus"
"356","Colletes graeffei","Colletes graeffei"
"357","Colletes halophilus","Colletes halophilus"
"358","Colletes hederae","Colletes hederae"
"359","Colletes hethiticus","Colletes hethiticus"
"360","Colletes hylaeiformis","Colletes hylaeiformis"
"361","Colletes impunctatus","Colletes impunctatus"
"362","Colletes inaequalis","Colletes inaequalis"
"363","Colletes inexpectatus","Colletes inexpectatus"
"364","Colletes kincaidii","Colletes kincaidii"
"365","Colletes lacunatus","Colletes lacunatus"
"366","Colletes ligatus","Colletes ligatus"
"367","Colletes maidli","Colletes maidli"
"368","Colletes marginatus","Colletes marginatus"
"369","Colletes meyeri","Colletes meyeri"
"370","Colletes mlokossewiczi","Colletes mlokossewiczi"
"371","Colletes nanus","Colletes nanus"
"372","Colletes nasutus","Colletes nasutus"
"373","Colletes nigricans","Colletes nigricans"
"374","Colletes perezi","Colletes perezi"
"375","Colletes petalostemonis","Colletes petalostemonis"
"376","Colletes pulchellus","Colletes pulchellus"
"377","Colletes pumilus","Colletes pumilus"
"378","Colletes punctatus","Colletes punctatus"
"379","Colletes rufotibialis","Colletes rufotibialis"
"380","Colletes schmidi","Colletes schmidi"
"381","Colletes sierrensis","Colletes sierrensis"
"382","Colletes similis","Colletes similis"
"383","Colletes simulans","Colletes simulans"
"384","Colletes succinctus","Colletes succinctus"
"385","Colletes thoracicus","Colletes thoracicus"
"386","Colletes tuberculatus","Colletes tuberculatus"
"387","Colletes validus","Colletes validus"
"388","Colletes wolfi","Colletes wolfi"
"389","Euryglossa aureophila","Euryglossa aureophila"
"390","Euryglossa morrisoni","Euryglossa morrisoni"
"391","Hylaeus alpinus","Hylaeus alpinus"
"392","Hylaeus angustatus","Hylaeus angustatus"
"393","Hylaeus annulatus","Hylaeus annulatus"
"394","Hylaeus brevicornis","Hylaeus brevicornis"
"395","Hylaeus clypearis","Hylaeus clypearis"
"396","Hylaeus communis","Hylaeus communis"
"397","Hylaeus confusus","Hylaeus confusus"
"398","Hylaeus cornutus","Hylaeus cornutus"
"399","Hylaeus crassanus","Hylaeus crassanus"
"400","Hylaeus dilatatus","Hylaeus dilatatus"
"401","Hylaeus duckei","Hylaeus duckei"
"402","Hylaeus gibbus","Hylaeus gibbus"
"403","Hylaeus glacialis","Hylaeus glacialis"
"404","Hylaeus gredleri","Hylaeus gredleri"
"405","Hylaeus hyalinatus","Hylaeus hyalinatus"
"406","Hylaeus incongruus","Hylaeus incongruus"
"407","Hylaeus kahri","Hylaeus kahri"
"408","Hylaeus leptocephalus","Hylaeus leptocephalus"
"409","Hylaeus moricei","Hylaeus moricei"
"410","Hylaeus nigritus","Hylaeus nigritus"
"411","Hylaeus nivalis","Hylaeus nivalis"
"412","Hylaeus paulus","Hylaeus paulus"
"413","Hylaeus pectoralis","Hylaeus pectoralis"
"414","Hylaeus pfankuchi","Hylaeus pfankuchi"
"415","Hylaeus pictipes","Hylaeus pictipes"
"416","Hylaeus pilosulus","Hylaeus pilosulus"
"417","Hylaeus rinki","Hylaeus rinki"
"418","Hylaeus signatus","Hylaeus signatus"
"419","Hylaeus sinuatus","Hylaeus sinuatus"
"420","Hylaeus styriacus","Hylaeus styriacus"
"421","Hylaeus taeniolatus","Hylaeus taeniolatus"
"422","Hylaeus tyrolensis","Hylaeus tyrolensis"
"423","Hylaeus variegatus","Hylaeus variegatus"
"424","Scrapter niger","Scrapter niger"
"425","Scrapter nitidus","Scrapter nitidus"
