flag,sp_wood_og,sp_wood_clean,,sp_dorey
,Andrena labiata,Andrena labiata,,
,Andrena lagopus,Andrena lagopus,,
,Andrena lapponica,Andrena lapponica,,
,Andrena lateralis,Andrena lateralis,,
,Andrena lathyri,Andrena lathyri,,
,Andrena laurivora,Andrena laurivora,,
,Andrena lavandulae,Andrena lavandulae,,
,Andrena lepida,Andrena lepida,,
,Andrena leptopyga,Andrena leptopyga,,
,Andrena leucolippa,Andrena leucolippa,,
,Andrena leucophaea,Andrena leucophaea,,
,Andrena levante,Andrena levante,,
,Andrena limata,Andrena limata,,
,Andrena livens,Andrena livens,,
,Andrena longibarbis,Andrena longibarbis,,
,Andrena lusitania,Andrena lusitania,,
,Andrena mandibularis,Andrena mandibularis,,
,Andrena mara,Andrena mara,,
,Andrena marginata,Andrena marginata,,
,Andrena marsae,Andrena marsae,,
,Andrena medeninensis,Andrena medeninensis,,
,Andrena mediovittata,Andrena mediovittata,,
,Andrena melacana,Andrena melacana,,
,Andrena melaleuca,Andrena melaleuca,,
,Andrena melittoides,Andrena melittoides,,
,Andrena mica,Andrena mica,,
,Andrena miegiella,Andrena miegiella,,
,Andrena minapalumboi,Andrena minapalumboi,,
,Andrena minutula,Andrena minutula,,
,Andrena minutuloides,Andrena minutuloides,,
,Andrena miranda,Andrena miranda,,
,Andrena miserabilis,Andrena miserabilis,,
,Andrena monilia,Andrena monilia,,
,Andrena morio,Andrena morio,,
,Andrena mucida,Andrena mucida,,
,Andrena nana,Andrena nana,,
,Andrena nasonii,Andrena nasonii,,
,Andrena nebularia,Andrena nebularia,,
,Andrena nigrae,Andrena nigrae,,
,Andrena nigriceps,Andrena nigriceps,,
,Andrena nigrihirta,Andrena nigrihirta,,
,Andrena nigroaenea,Andrena nigroaenea,,
,Andrena nigroolivacea,Andrena nigroolivacea,,
,Andrena nigropilosa,Andrena nigropilosa,,
,Andrena nigrospina,Andrena nigrospina,,
,Andrena nigroviridula,Andrena nigroviridula,,
,Andrena nilotica,Andrena nilotica,,
,Andrena nisoria,Andrena nisoria,,
,Andrena nitida,Andrena nitida,,
,Andrena nitidula,Andrena nitidula,,
