Rank,Family,Species_wood,species,Rare10,Integer
146,Apidae,Bombus wurflenii,Bombus wurflenii,8.563689,9
261,Apidae,Bombus zonatus,Bombus zonatus,5.694876,6
83,Apidae,Centris nitida,Centris nitida,10.551193,11
126,Apidae,Ceratina calcarata,Ceratina calcarata,9.100156,9
98,Apidae,Ceratina dupla,Ceratina dupla,9.888864,10
188,Apidae,Ceratina mikmaqi,Ceratina mikmaqi,7.716582,8
235,Apidae,Chalepogenus cocuccii,Chalepogenus cocuccii,6.249686,6
671,Apidae,Diadasia angusticeps,Diadasia angusticeps,1,1
345,Apidae,Diadasia diminuta,Diadasia diminuta,3.962704,4
672,Apidae,Diadasia enavata,Diadasia enavata,1,1
673,Apidae,Diadasia laticauda,Diadasia laticauda,1,1
674,Apidae,Diadasia nigrifrons,Diadasia nigrifrons,1,1
675,Apidae,Diadasia ochracea,Diadasia ochracea,1,1
676,Apidae,Diadasia sphaeralcearum,Diadasia sphaeralcearum,1,1
677,Apidae,Diadasia tropicalis,Diadasia tropicalis,1,1
678,Apidae,Diadasia vallicola,Diadasia vallicola,1,1
679,Apidae,Diadasina riparia,Diadasina riparia,1,1
389,Apidae,Eucera caspica,Eucera caspica,2.999964,3
178,Apidae,Eucera clypeata,Eucera clypeata,7.897012,8
687,Apidae,Eucera cypria,Eucera cypria,1,1
456,Apidae,Eucera dafnii,Eucera dafnii,1.995941,2
160,Apidae,Eucera elongatula,Eucera elongatula,8.271956,8
452,Apidae,Eucera eucnemidea,Eucera eucnemidea,1.998331,2
688,Apidae,Eucera furfurea,Eucera furfurea,1,1
689,Apidae,Eucera interrupta,Eucera interrupta,1,1
414,Apidae,Eucera longicornis,Eucera longicornis,2.58302,3
416,Apidae,Eucera nigrescens,Eucera nigrescens,2.497512,2
690,Apidae,Eucera nigrifacies,Eucera nigrifacies,1,1
368,Apidae,Eucera nigrilabris,Eucera nigrilabris,3.588234,4
461,Apidae,Eucera notata,Eucera notata,1.986132,2
380,Apidae,Eucera pici,Eucera pici,3.088239,3
448,Apidae,Eucera proxima,Eucera proxima,1.999828,2
691,Apidae,Eucera taurica,Eucera taurica,1,1
158,Apidae,Euglossa cordata,Euglossa cordata,8.376538,8
255,Apidae,Eulaema nigrita,Eulaema nigrita,5.776705,6
2,Apidae,Melipona mimetica,Melipona mimetica,20.206686,20
766,Apidae,Melissodes desponsus,Melissodes desponsus,1,1
466,Apidae,Melissodes illatus,Melissodes illatus,1.948122,2
767,Apidae,Melissodes subillatus,Melissodes subillatus,1,1
768,Apidae,Melitoma osmoides,Melitoma osmoides,1,1
769,Apidae,Melitoma segmentaria,Melitoma segmentaria,1,1
770,Apidae,Melitomella murihirta,Melitomella murihirta,1,1
818,Apidae,Peponapis michelbacherorum,Peponapis michelbacherorum,1,1
819,Apidae,Peponapis pruinosa,Peponapis pruinosa,1,1
820,Apidae,Peponapis utahensis,Peponapis utahensis,1,1
835,Apidae,Ptilothrix bombiformis,Ptilothrix bombiformis,1,1
836,Apidae,Ptilothrix plumata,Ptilothrix plumata,1,1
4,Apidae,Scaptotrigona spp.,Scaptotrigona spp.,18.291087,18
848,Apidae,Tetralonia cinctella,Tetralonia cinctella,1,1
849,Apidae,Tetralonia dentata,Tetralonia dentata,1,1
850,Apidae,Tetralonia iberica,Tetralonia iberica,1,1
851,Apidae,Tetralonia julliani,Tetralonia julliani,1,1
852,Apidae,Tetralonia nana,Tetralonia nana,1,1
853,Apidae,Tetralonia salicariae,Tetralonia salicariae,1,1
856,Apidae,Xenoglossa angustior,Xenoglossa angustior,1,1
857,Apidae,Xenoglossa crassidentata,Xenoglossa crassidentata,1,1
858,Apidae,Xenoglossa patricia,Xenoglossa patricia,1,1
859,Apidae,Xenoglossa strenua,Xenoglossa strenua,1,1
860,Apidae,Xenoglossoides eriocarpi,Xenoglossoides eriocarpi,1,1
176,Apidae,Xylocopa virginica,Xylocopa virginica,7.942681,8
514,Colletidae,Actenosigynes mantiqueirensis,Actenosigynes mantiqueirensis,1,1
615,Colletidae,Bicolletes indigoticus,Bicolletes indigoticus,1,1
616,Colletidae,Bicolletes pampeana,Bicolletes pampeana,1,1
459,Colletidae,Colletes abeillei,Colletes abeillei,1.988972,2
340,Colletidae,Colletes acutiformis,Colletes acutiformis,3.994455,4
348,Colletidae,Colletes acutus,Colletes acutus,3.912804,4
258,Colletidae,Colletes albomaculatus,Colletes albomaculatus,5.750953,6
648,Colletidae,Colletes americanus,Colletes americanus,1,1
649,Colletidae,Colletes anchusae,Colletes anchusae,1,1
177,Colletidae,Colletes brevigena,Colletes brevigena,7.897349,8
359,Colletidae,Colletes capensis,Colletes capensis,3.740718,4
383,Colletidae,Colletes carinatus,Colletes carinatus,3,3
500,Colletidae,Colletes cariniger,Colletes cariniger,1.4,1
294,Colletidae,Colletes caskanus,Colletes caskanus,4.994055,5
435,Colletidae,Colletes collaris,Colletes collaris,2,2
650,Colletidae,Colletes compactus,Colletes compactus,1,1
128,Colletidae,Colletes cunicularius,Colletes cunicularius,9.039784,9
651,Colletidae,Colletes daviesanus,Colletes daviesanus,1,1
652,Colletidae,Colletes dinizi,Colletes dinizi,1,1
341,Colletidae,Colletes dorsalis,Colletes dorsalis,3.992828,4
136,Colletidae,Colletes dusmeti,Colletes dusmeti,8.756259,9
51,Colletidae,Colletes eous,Colletes eous,11.959893,12
436,Colletidae,Colletes escalerai,Colletes escalerai,2,2
210,Colletidae,Colletes floralis,Colletes floralis,6.994813,7
653,Colletidae,Colletes fodiens,Colletes fodiens,1,1
437,Colletidae,Colletes formosus,Colletes formosus,2,2
420,Colletidae,Colletes foveolaris,Colletes foveolaris,2.27027,2
319,Colletidae,Colletes gallicus,Colletes gallicus,4.501121,5
654,Colletidae,Colletes graeffei,Colletes graeffei,1,1
405,Colletidae,Colletes halophilus,Colletes halophilus,2.842946,3
309,Colletidae,Colletes hederae,Colletes hederae,4.780439,5
370,Colletidae,Colletes hethiticus,Colletes hethiticus,3.552446,4
655,Colletidae,Colletes hylaeiformis,Colletes hylaeiformis,1,1
153,Colletidae,Colletes impunctatus,Colletes impunctatus,8.436838,8
304,Colletidae,Colletes inaequalis,Colletes inaequalis,4.857999,5
656,Colletidae,Colletes inexpectatus,Colletes inexpectatus,1,1
287,Colletidae,Colletes kincaidii,Colletes kincaidii,5,5
334,Colletidae,Colletes lacunatus,Colletes lacunatus,4,4
404,Colletidae,Colletes ligatus,Colletes ligatus,2.846049,3
148,Colletidae,Colletes maidli,Colletes maidli,8.522361,9
205,Colletidae,Colletes marginatus,Colletes marginatus,7.139522,7
460,Colletidae,Colletes meyeri,Colletes meyeri,1.988633,2
657,Colletidae,Colletes mlokossewiczi,Colletes mlokossewiczi,1,1
273,Colletidae,Colletes nanus,Colletes nanus,5.414199,5
658,Colletidae,Colletes nasutus,Colletes nasutus,1,1
73,Colletidae,Colletes nigricans,Colletes nigricans,10.969805,11
438,Colletidae,Colletes noskiewiczi,Colletes noskiewiczi,2,2
94,Colletidae,Colletes perezi,Colletes perezi,10.027511,10
659,Colletidae,Colletes petalostemonis,Colletes petalostemonis,1,1
351,Colletidae,Colletes pulchellus,Colletes pulchellus,3.8742,4
299,Colletidae,Colletes pumilus,Colletes pumilus,4.961428,5
660,Colletidae,Colletes punctatus,Colletes punctatus,1,1
337,Colletidae,Colletes rufotibialis,Colletes rufotibialis,3.999926,4
314,Colletidae,Colletes schmidi,Colletes schmidi,4.666565,5
468,Colletidae,Colletes sierrensis,Colletes sierrensis,1.905596,2
355,Colletidae,Colletes similis,Colletes similis,3.822413,4
661,Colletidae,Colletes simulans,Colletes simulans,1,1
367,Colletidae,Colletes succinctus,Colletes succinctus,3.62499,4
208,Colletidae,Colletes thoracicus,Colletes thoracicus,6.999806,7
662,Colletidae,Colletes tuberculatus,Colletes tuberculatus,1,1
664,Colletidae,Colletes wolfi,Colletes wolfi,1,1
692,Colletidae,Euryglossa aureophila,Euryglossa aureophila,1,1
693,Colletidae,Euryglossa morrisoni,Euryglossa morrisoni,1,1
87,Colletidae,Hyaleus annulatus,Hyaleus annulatus,10.409884,10
52,Colletidae,Hylaeus alpinus,Hylaeus alpinus,11.938756,12
40,Colletidae,Hylaeus angustatus,Hylaeus angustatus,12.662449,13
264,Colletidae,Hylaeus brevicornis,Hylaeus brevicornis,5.626674,6
423,Colletidae,Hylaeus clypearis,Hylaeus clypearis,2.20385,2
18,Colletidae,Hylaeus communis,Hylaeus communis,14.118476,14
214,Colletidae,Hylaeus confusus,Hylaeus confusus,6.852367,7
366,Colletidae,Hylaeus cornutus,Hylaeus cornutus,3.637768,4
293,Colletidae,Hylaeus crassanus,Hylaeus crassanus,4.995405,5
80,Colletidae,Hylaeus dilatatus,Hylaeus dilatatus,10.777477,11
412,Colletidae,Hylaeus duckei,Hylaeus duckei,2.608908,3
59,Colletidae,Hylaeus gibbus,Hylaeus gibbus,11.521577,12
180,Colletidae,Hylaeus glacialis,Hylaeus glacialis,7.800432,8
378,Colletidae,Hylaeus gredleri,Hylaeus gredleri,3.203516,3
16,Colletidae,Hylaeus hyalinatus,Hylaeus hyalinatus,14.32135,14
58,Colletidae,Hylaeus incongruus,Hylaeus incongruus,11.558189,12
399,Colletidae,Hylaeus kahri,Hylaeus kahri,2.869761,3
179,Colletidae,Hylaeus leptocephalus,Hylaeus leptocephalus,7.879999,8
69,Colletidae,Hylaeus moricei,Hylaeus moricei,11.034432,11
363,Colletidae,Hylaeus nigritus,Hylaeus nigritus,3.693674,4
72,Colletidae,Hylaeus nivalis,Hylaeus nivalis,10.983803,11
238,Colletidae,Hylaeus paulus,Hylaeus paulus,6.073621,6
125,Colletidae,Hylaeus pectoralis,Hylaeus pectoralis,9.127059,9
279,Colletidae,Hylaeus pfankuchi,Hylaeus pfankuchi,5.157764,5
137,Colletidae,Hylaeus pictipes,Hylaeus pictipes,8.731807,9
742,Colletidae,Hylaeus pilosulus,Hylaeus pilosulus,1,1
244,Colletidae,Hylaeus punctatissimus,Hylaeus punctatissimus,5.993617,6
407,Colletidae,Hylaeus punctatissimus,Hylaeus punctatissimus,2.814039,3
317,Colletidae,Hylaeus rinki,Hylaeus rinki,4.578768,5
743,Colletidae,Hylaeus signatus,Hylaeus signatus,1,1
476,Colletidae,Hylaeus sinuatus,Hylaeus sinuatus,1.804454,2
744,Colletidae,Hylaeus styriacus,Hylaeus styriacus,1,1
376,Colletidae,Hylaeus taeniolatus,Hylaeus taeniolatus,3.301992,3
745,Colletidae,Hylaeus tyrolensis,Hylaeus tyrolensis,1,1
231,Colletidae,Hylaeus variegatus,Hylaeus variegatus,6.303578,6
829,Colletidae,Protodiscelis palpalis,Protodiscelis palpalis,1,1
349,Colletidae,Scrapter niger,Scrapter niger,3.91165,4
841,Colletidae,Scrapter nitidus,Scrapter nitidus,1,1
212,Halictidae,Agapostemon sericeus,Agapostemon sericeus,6.931812,7
305,Halictidae,Agapostemon virescens,Agapostemon virescens,4.826446,5
77,Halictidae,Augochlora pura,Augochlora pura,10.820338,11
34,Halictidae,Augochlorella aurata,Augochlorella aurata,12.81581,13
625,Halictidae,Ceblurgus longipalpis,Ceblurgus longipalpis,1,1
681,Halictidae,Dieunomia heteropoda,Dieunomia heteropoda,1,1
239,Halictidae,Dufourea alpina,Dufourea alpina,6.046502,6
682,Halictidae,Dufourea dentiventris,Dufourea dentiventris,1,1
683,Halictidae,Dufourea halictula,Dufourea halictula,1,1
684,Halictidae,Dufourea inermis,Dufourea inermis,1,1
685,Halictidae,Dufourea minuta,Dufourea minuta,1,1
686,Halictidae,Dufourea monardae,Dufourea monardae,1,1
129,Halictidae,Dufourea paradoxa,Dufourea paradoxa,9.008189,9
33,Halictidae,Halictus confusus,Halictus confusus,12.823909,13
50,Halictidae,Halictus crenicornis,Halictus crenicornis,11.999405,12
410,Halictidae,Halictus ligatus,Halictus ligatus,2.760929,3
224,Halictidae,Halictus maculatus,Halictus maculatus,6.538461,7
289,Halictidae,Halictus pollinosus,Halictus pollinosus,5,5
286,Halictidae,Halictus quadricinctus,Halictus quadricinctus,5.011414,5
22,Halictidae,Halictus rubicundus,Halictus rubicundus,13.221802,13
328,Halictidae,Halictus scabiosae,Halictus scabiosae,4.11294,4
78,Halictidae,Halictus subauratus,Halictus subauratus,10.810144,11
27,Halictidae,Halictus tumulorum,Halictus tumulorum,13.113593,13
105,Halictidae,Lasioglossum acuminatum,Lasioglossum acuminatum,9.711108,10
173,Halictidae,Lasioglossum albipes,Lasioglossum albipes,7.995485,8
221,Halictidae,Lasioglossum albocinctum,Lasioglossum albocinctum,6.611377,7
243,Halictidae,Lasioglossum anomalum,Lasioglossum anomalum,5.999989,6
316,Halictidae,Lasioglossum bimaculatum,Lasioglossum bimaculatum,4.61322,5
429,Halictidae,Lasioglossum brevicorne,Lasioglossum brevicorne,2.006831,2
17,Halictidae,Lasioglossum calceatum,Lasioglossum calceatum,14.296803,14
161,Halictidae,Lasioglossum cinctipes,Lasioglossum cinctipes,8.245676,8
159,Halictidae,Lasioglossum coriaceum,Lasioglossum coriaceum,8.277221,8
475,Halictidae,Lasioglossum corvinum,Lasioglossum corvinum,1.833333,2
403,Halictidae,Lasioglossum costulatum,Lasioglossum costulatum,2.848182,3
30,Halictidae,Lasioglossum cressonii,Lasioglossum cressonii,13.038219,13
7,Halictidae,Lasioglossum cupromicans,Lasioglossum cupromicans,16.688067,17
356,Halictidae,Lasioglossum discum,Lasioglossum discum,3.817007,4
144,Halictidae,Lasioglossum euboeense,Lasioglossum euboeense,8.654125,9
360,Halictidae,Lasioglossum foxii,Lasioglossum foxii,3.714286,4
163,Halictidae,Lasioglossum fulvicorne,Lasioglossum fulvicorne,8.195766,8
281,Halictidae,Lasioglossum fynbosensis,Lasioglossum fynbosensis,5.119945,5
96,Halictidae,Lasioglossum glabriusculum,Lasioglossum glabriusculum,9.9748,10
61,Halictidae,Lasioglossum hitchensi,Lasioglossum hitchensi,11.382839,11
106,Halictidae,Lasioglossum imitatum,Lasioglossum imitatum,9.6741,10
338,Halictidae,Lasioglossum immunitum,Lasioglossum immunitum,3.999896,4
209,Halictidae,Lasioglossum intermedium,Lasioglossum intermedium,6.997842,7
81,Halictidae,Lasioglossum interruptum,Lasioglossum interruptum,10.761867,11
42,Halictidae,Lasioglossum laevigatum,Lasioglossum laevigatum,12.433152,12
170,Halictidae,Lasioglossum laevissimum,Lasioglossum laevissimum,7.99972,8
12,Halictidae,Lasioglossum laticeps,Lasioglossum laticeps,15.158611,15
312,Halictidae,Lasioglossum lativentre,Lasioglossum lativentre,4.689348,5
127,Halictidae,Lasioglossum leucocomum,Lasioglossum leucocomum,9.091982,9
218,Halictidae,Lasioglossum leucopus,Lasioglossum leucopus,6.652891,7
283,Halictidae,Lasioglossum leucozonium,Lasioglossum leucozonium,5.087538,5
55,Halictidae,Lasioglossum lineatulum,Lasioglossum lineatulum,11.752153,12
79,Halictidae,Lasioglossum lissonotum,Lasioglossum lissonotum,10.797518,11
749,Halictidae,Lasioglossum lustrans,Lasioglossum lustrans,1,1
257,Halictidae,Lasioglossum macoupinense,Lasioglossum macoupinense,5.752271,6
84,Halictidae,Lasioglossum malachurum,Lasioglossum malachurum,10.512934,11
14,Halictidae,Lasioglossum mediterraneum,Lasioglossum mediterraneum,14.931701,15
169,Halictidae,Lasioglossum monstrificum,Lasioglossum monstrificum,8,8
6,Halictidae,Lasioglossum morio,Lasioglossum morio,16.763503,17
318,Halictidae,Lasioglossum nigripes,Lasioglossum nigripes,4.517947,5
97,Halictidae,Lasioglossum paradmirandum,Lasioglossum paradmirandum,9.890367,10
172,Halictidae,Lasioglossum paraforbesii,Lasioglossum paraforbesii,7.995977,8
64,Halictidae,Lasioglossum parvulum,Lasioglossum parvulum,11.20786,11
133,Halictidae,Lasioglossum pauperatum,Lasioglossum pauperatum,8.900153,9
112,Halictidae,Lasioglossum pauxillum,Lasioglossum pauxillum,9.426275,9
93,Halictidae,Lasioglossum pectorale,Lasioglossum pectorale,10.141116,10
226,Halictidae,Lasioglossum perpunctatum,Lasioglossum perpunctatum,6.5,7
39,Halictidae,Lasioglossum pilosum,Lasioglossum pilosum,12.677564,13
313,Halictidae,Lasioglossum prasinum,Lasioglossum prasinum,4.671139,5
252,Halictidae,Lasioglossum punctatissimum,Lasioglossum punctatissimum,5.900901,6
409,Halictidae,Lasioglossum puncticolle,Lasioglossum puncticolle,2.763836,3
130,Halictidae,Lasioglossum quebecense,Lasioglossum quebecense,8.997674,9
71,Halictidae,Lasioglossum tricinctum,Lasioglossum tricinctum,10.995083,11
135,Halictidae,Lasioglossum versans,Lasioglossum versans,8.769231,9
41,Halictidae,Lasioglossum versatum,Lasioglossum versatum,12.559941,13
494,Halictidae,Lasioglossum villosulum,Lasioglossum villosulum,1.521542,2
92,Halictidae,Lasioglossum zephyrum,Lasioglossum zephyrum,10.289954,10
101,Halictidae,Lasioglossum zonulum,Lasioglossum zonulum,9.817409,10
751,Halictidae,Lipotriches cinerascens,Lipotriches cinerascens,1,1
752,Halictidae,Lipotriches cribrosa,Lipotriches cribrosa,1,1
753,Halictidae,Lipotriches hylaeoides,Lipotriches hylaeoides,1,1
754,Halictidae,Lipotriches tanganyicensis,Lipotriches tanganyicensis,1,1
297,Halictidae,Meganomia binghami,Meganomia binghami,4.96546,5
54,Halictidae,Nomiapis diversipes,Nomiapis diversipes,11.796478,12
95,Halictidae,Nomiapis paulyi,Nomiapis paulyi,10,10
361,Halictidae,Patellapis communis,Patellapis communis,3.699109,4
837,Halictidae,Rhopitoides canus,Rhopitoides canus,1,1
838,Halictidae,Rophites algirus,Rophites algirus,1,1
839,Halictidae,Rophites quinquespinosus,Rophites quinquespinosus,1,1
846,Halictidae,Systropha curvicornis,Systropha curvicornis,1,1
847,Halictidae,Systropha planidens,Systropha planidens,1,1
515,Megachilidae,Afranthidium alternans,Afranthidium alternans,1,1
516,Megachilidae,Afranthidium carduele,Afranthidium carduele,1,1
517,Megachilidae,Afranthidium pusillum,Afranthidium pusillum,1,1
518,Megachilidae,Afranthidium schulthessi,Afranthidium schulthessi,1,1
320,Megachilidae,Anthidiellum breviusculum,Anthidiellum breviusculum,4.419379,4
76,Megachilidae,Anthidiellum strigatum,Anthidiellum strigatum,10.82089,11
323,Megachilidae,Anthidiellum troodicum,Anthidiellum troodicum,4.320919,4
421,Megachilidae,Anthidium anguliventre,Anthidium anguliventre,2.251256,2
174,Megachilidae,Anthidium auritum,Anthidium auritum,7.962428,8
213,Megachilidae,Anthidium cingulatum,Anthidium cingulatum,6.900983,7
346,Megachilidae,Anthidium dalmaticum,Anthidium dalmaticum,3.961587,4
401,Megachilidae,Anthidium diadema,Anthidium diadema,2.855831,3
242,Megachilidae,Anthidium echinatum,Anthidium echinatum,5.999995,6
124,Megachilidae,Anthidium florentinum,Anthidium florentinum,9.152594,9
352,Megachilidae,Anthidium loti,Anthidium loti,3.853292,4
609,Megachilidae,Anthidium luctuosum,Anthidium luctuosum,1,1
308,Megachilidae,Anthidium manicatum,Anthidium manicatum,4.794862,5
509,Megachilidae,Anthidium montanum,Anthidium montanum,1.285714,1
230,Megachilidae,Anthidium oblongatum,Anthidium oblongatum,6.349038,6
256,Megachilidae,Anthidium punctatum,Anthidium punctatum,5.764651,6
200,Megachilidae,Anthidium septemspinosum,Anthidium septemspinosum,7.320688,7
610,Megachilidae,Anthidium spiniventre,Anthidium spiniventre,1,1
272,Megachilidae,Anthidium taeniatum,Anthidium taeniatum,5.415954,5
611,Megachilidae,Anthidium tesselatum,Anthidium tesselatum,1,1
295,Megachilidae,Anthidium undulatum,Anthidium undulatum,4.980436,5
612,Megachilidae,Anthidium waltlii,Anthidium waltlii,1,1
613,Megachilidae,Anthidium wüstneii,Anthidium wüstneii,1,1
626,Megachilidae,Chelostoma aureocinctum,Chelostoma aureocinctum,1,1
627,Megachilidae,Chelostoma californicum,Chelostoma californicum,1,1
628,Megachilidae,Chelostoma campanularum,Chelostoma campanularum,1,1
629,Megachilidae,Chelostoma carinulum,Chelostoma carinulum,1,1
630,Megachilidae,Chelostoma cockrelli,Chelostoma cockrelli,1,1
510,Megachilidae,Chelostoma diodon,Chelostoma diodon,1.277778,1
631,Megachilidae,Chelostoma distinctum,Chelostoma distinctum,1,1
408,Megachilidae,Chelostoma edentulum,Chelostoma edentulum,2.813829,3
632,Megachilidae,Chelostoma emarginatum,Chelostoma emarginatum,1,1
633,Megachilidae,Chelostoma florisomne,Chelostoma florisomne,1,1
634,Megachilidae,Chelostoma foveolatum,Chelostoma foveolatum,1,1
635,Megachilidae,Chelostoma garrulum,Chelostoma garrulum,1,1
636,Megachilidae,Chelostoma grande,Chelostoma grande,1,1
637,Megachilidae,Chelostoma hellenicum,Chelostoma hellenicum,1,1
454,Megachilidae,Chelostoma incisulum,Chelostoma incisulum,1.997739,2
638,Megachilidae,Chelostoma laticaudum,Chelostoma laticaudum,1,1
388,Megachilidae,Chelostoma minutum,Chelostoma minutum,2.999964,3
639,Megachilidae,Chelostoma mocsaryi,Chelostoma mocsaryi,1,1
640,Megachilidae,Chelostoma nasutum,Chelostoma nasutum,1,1
641,Megachilidae,Chelostoma phaceliae,Chelostoma phaceliae,1,1
642,Megachilidae,Chelostoma philadelphi,Chelostoma philadelphi,1,1
643,Megachilidae,Chelostoma rapunculi,Chelostoma rapunculi,1,1
644,Megachilidae,Chelostoma styriacum,Chelostoma styriacum,1,1
645,Megachilidae,Chelostoma transversum,Chelostoma transversum,1,1
646,Megachilidae,Chelostoma ventrale,Chelostoma ventrale,1,1
680,Megachilidae,Dianthidium simile,Dianthidium simile,1,1
165,Megachilidae,Eoanthidium clypeare,Eoanthidium clypeare,8.16094,8
107,Megachilidae,Eoanthidium insulare,Eoanthidium insulare,9.659714,10
696,Megachilidae,Haetosmia circumventa,Haetosmia circumventa,1,1
697,Megachilidae,Haetosmia ethiopiensis,Haetosmia ethiopiensis,1,1
698,Megachilidae,Haetosmia vechti,Haetosmia vechti,1,1
335,Megachilidae,Heriades carinata,Heriades carinata,4,4
699,Megachilidae,Heriades crenulata,Heriades crenulata,1,1
700,Megachilidae,Heriades rubicola,Heriades rubicola,1,1
701,Megachilidae,Heriades truncorum,Heriades truncorum,1,1
702,Megachilidae,Hofferia mauritanica,Hofferia mauritanica,1,1
703,Megachilidae,Hofferia schmiedeknechti,Hofferia schmiedeknechti,1,1
736,Megachilidae,Hoplitis cristatula,Hoplitis cristatula,1,1
737,Megachilidae,Hoplitis dalmatica,Hoplitis dalmatica,1,1
738,Megachilidae,Hoplitis maritima,Hoplitis maritima,1,1
739,Megachilidae,Hoplitis mitis,Hoplitis mitis,1,1
441,Megachilidae,Hoplitis pilosifrons,Hoplitis pilosifrons,2,2
740,Megachilidae,Hoplitis praestans,Hoplitis praestans,1,1
442,Megachilidae,Hoplitis prazi,Hoplitis prazi,2,2
741,Megachilidae,Hoplitis ruficornis,Hoplitis ruficornis,1,1
385,Megachilidae,Icteranthidium afrum,Icteranthidium afrum,3,3
490,Megachilidae,Icteranthidium cimbiciforme,Icteranthidium cimbiciforme,1.571531,2
746,Megachilidae,Icteranthidium fedtschenkoi,Icteranthidium fedtschenkoi,1,1
31,Megachilidae,Icteranthidium ferrugineum,Icteranthidium ferrugineum,12.918152,13
60,Megachilidae,Icteranthidium grohmanni,Icteranthidium grohmanni,11.495736,11
190,Megachilidae,Icteranthidium laterale,Icteranthidium laterale,7.62066,8
86,Megachilidae,Icteranthidium limbiferum,Icteranthidium limbiferum,10.411147,10
755,Megachilidae,Lithurgus chrysurus,Lithurgus chrysurus,1,1
234,Megachilidae,Megachile argentata,Megachile argentata,6.257335,6
67,Megachilidae,Megachile centuncularis,Megachile centuncularis,11.064951,11
763,Megachilidae,Megachile ericetorum,Megachile ericetorum,1,1
325,Megachilidae,Megachile latimanus,Megachile latimanus,4.233578,4
311,Megachilidae,Megachile maritima,Megachile maritima,4.714286,5
386,Megachilidae,Megachile mendica,Megachile mendica,3,3
764,Megachilidae,Megachile nigriventris,Megachile nigriventris,1,1
765,Megachilidae,Megachile pugnata,Megachile pugnata,1,1
398,Megachilidae,Megachile rotundata,Megachile rotundata,2.871871,3
296,Megachilidae,Osmia atriventris,Osmia atriventris,4.975404,5
798,Megachilidae,Osmia brevicornis,Osmia brevicornis,1,1
799,Megachilidae,Osmia brevis,Osmia brevis,1,1
271,Megachilidae,Osmia bucephala,Osmia bucephala,5.41844,5
800,Megachilidae,Osmia californica,Osmia californica,1,1
357,Megachilidae,Osmia conjuncta,Osmia conjuncta,3.766818,4
801,Megachilidae,Osmia gallarum,Osmia gallarum,1,1
802,Megachilidae,Osmia laticeps,Osmia laticeps,1,1
803,Megachilidae,Osmia leaiana,Osmia leaiana,1,1
804,Megachilidae,Osmia montana,Osmia montana,1,1
805,Megachilidae,Osmia niveata,Osmia niveata,1,1
197,Megachilidae,Osmia pumila,Osmia pumila,7.465552,7
806,Megachilidae,Osmia sculleini,Osmia sculleini,1,1
807,Megachilidae,Osmia(Hoplosmia) scutellaris,Osmia scutellaris,1,1
808,Megachilidae,Othinosmia schultzei,Othinosmia schultzei,1,1
823,Megachilidae,Proteriades bidenticauda,Proteriades bidenticauda,1,1
824,Megachilidae,Proteriades bullifacies,Proteriades bullifacies,1,1
825,Megachilidae,Proteriades mojavensis,Proteriades mojavensis,1,1
826,Megachilidae,Proteriades plagiostoma,Proteriades plagiostoma,1,1
827,Megachilidae,Proteriades shoshone,Proteriades shoshone,1,1
828,Megachilidae,Proteriades zuni,Proteriades zuni,1,1
831,Megachilidae,Pseudoanthidium eximium,Pseudoanthidium eximium,1,1
508,Megachilidae,Pseudoanthidium melanurum,Pseudoanthidium melanurum,1.333333,1
291,Megachilidae,Pseudoanthidium ochrognathum,Pseudoanthidium ochrognathum,4.999999,5
832,Megachilidae,Pseudoanthidium reticulatum,Pseudoanthidium reticulatum,1,1
513,Megachilidae,Pseudoanthidium scapulare,Pseudoanthidium scapulare,1.181818,1
496,Megachilidae,Pseudoanthidium wahrmannicum,Pseudoanthidium wahrmannicum,1.5,2
833,Megachilidae,Pseudopanurgus aestivalis,Pseudopanurgus aestivalis,1,1
834,Megachilidae,Pseudopanurgus andrenoides,Pseudopanurgus andrenoides,1,1
498,Megachilidae,Rhodanthidium aculeatum,Rhodanthidium aculeatum,1.416667,1
187,Megachilidae,Rhodanthidium caturigense,Rhodanthidium caturigense,7.72052,8
99,Megachilidae,Rhodanthidium infuscatum,Rhodanthidium infuscatum,9.850375,10
26,Megachilidae,Rhodanthidium septemdentatum,Rhodanthidium septemdentatum,13.138471,13
157,Megachilidae,Rhodanthidium siculum,Rhodanthidium siculum,8.379787,8
90,Megachilidae,Rhodanthidium sticticum,Rhodanthidium sticticum,10.355544,10
464,Megachilidae,Rhodanthidium superbum,Rhodanthidium superbum,1.955209,2
842,Megachilidae,Stenoheriades asiatica,Stenoheriades asiatica,1,1
843,Megachilidae,Stenoheriades coelostoma,Stenoheriades coelostoma,1,1
844,Megachilidae,Stenoheriades eingeddica,Stenoheriades eingeddica,1,1
845,Megachilidae,Stenoheriades levantica,Stenoheriades levantica,1,1
400,Megachilidae,Trachusa byssina,Trachusa byssina,2.867136,3
854,Megachilidae,Trachusa dumerlei,Trachusa dumerlei,1,1
855,Megachilidae,Trachusa interrupta,Trachusa interrupta,1,1
285,Megachilidae,Trachusa laeviventre,Trachusa laeviventre,5.044155,5
237,Megachilidae,Trachusa laticeps,Trachusa laticeps,6.091476,6
487,Megachilidae,Trachusa pubescens,Trachusa pubescens,1.645161,2
620,Melittidae,Capicola aliciae,Capicola aliciae,1,1
621,Melittidae,Capicola braunsiana,Capicola braunsiana,1,1
622,Melittidae,Capicola micheneri,Capicola micheneri,1,1
623,Melittidae,Capicola nanula,Capicola nanula,1,1
