beeFamily,species,Loads,dietFamily
Megachilidae,Megachile flabellipes,30,1
Megachilidae,Megachile latimanus,25,2
Megachilidae,Megachile maritima,14,4
Megachilidae,Megachile mendica,14,3
Megachilidae,Megachile nigriventris,NA,1
Megachilidae,Megachile pilicrus,45,1
Megachilidae,Megachile rotundata,300,2
Megachilidae,Osmia agilis,17,3
Megachilidae,Osmia alticola,16,1
Megachilidae,Osmia anceps,19,1
Megachilidae,Osmia anceyi,26,1
Megachilidae,Osmia andrenoides,47,6
Megachilidae,Osmia apicata,52,1
Megachilidae,Osmia argyropyga,30,1
Megachilidae,Osmia atriventris,19,5
Megachilidae,Osmia aurulenta,26,2
Megachilidae,Osmia avosetta,38,1
Megachilidae,Osmia balearica,13,1
Megachilidae,Osmia bicornis,50,10
Megachilidae,Osmia bidentata,62,1
Megachilidae,Osmia brevis,46,1
Megachilidae,Osmia bucephala,14,4
Megachilidae,Osmia caerulescens,22,2
Megachilidae,Osmia californica,28,1
Megachilidae,Osmia carbo,23,1
Megachilidae,Osmia centaureae,28,1
Megachilidae,Osmia cerinthidis,52,2
Megachilidae,Osmia chrysolepta,18,2
Megachilidae,Osmia conjuncta,13,3
Megachilidae,Osmia cornifrons,28,6
Megachilidae,Osmia cornuta,50,6
Megachilidae,Osmia croatica,30,1
Megachilidae,Osmia difficilis,27,1
Megachilidae,Osmia distinguenda,34,1
Megachilidae,Osmia emarginata,24,4
Megachilidae,Osmia erythrogastra,19,4
Megachilidae,Osmia excavata,19,5
Megachilidae,Osmia fedtschenkoi,22,3
Megachilidae,Osmia gallarum,NA,1
Megachilidae,Osmia glareola,19,1
Megachilidae,Osmia inermis,50,2
Megachilidae,Osmia kohli,33,6
Megachilidae,Osmia labialis,50,1
Megachilidae,Osmia laticeps,NA,1
Megachilidae,Osmia lignaria,50,5
Megachilidae,Osmia ligurica,50,1
Megachilidae,Osmia lunata,30,1
Megachilidae,Osmia maxillaris,23,1
Megachilidae,Osmia melanocephala,12,4
Megachilidae,Osmia montana,27,1
Megachilidae,Osmia mustelina,50,4
Megachilidae,Osmia nigriventris,50,4
Megachilidae,Osmia nigrohirta,27,6
Megachilidae,Osmia niveata,NA,1
Megachilidae,Osmia padri,30,1
Megachilidae,Osmia parietina,50,2
Megachilidae,Osmia pedicornis,32,6
Megachilidae,Osmia picena,21,1
Megachilidae,Osmia pilicornis,52,4
Megachilidae,Osmia pinguis,19,1
Megachilidae,Osmia pumila,17,5
Megachilidae,Osmia relicta,15,4
Megachilidae,Osmia rhodoensis,38,3
Megachilidae,Osmia ribifloris,50,5
Megachilidae,Osmia scheherazade,18,1
Megachilidae,Osmia sculleini,13,1
Megachilidae,Osmia scutellaris,50,1
Megachilidae,Osmia sparsipuncta,20,4
Megachilidae,Osmia spinigera,29,1
Megachilidae,Osmia spinulosa,15,1
Megachilidae,Osmia steinmanni,15,2
Megachilidae,Osmia taurus,12,8
Megachilidae,Osmia tergestensis,40,1
Megachilidae,Osmia tricornis,50,5
Megachilidae,Osmia uncicornis,24,1
Megachilidae,Osmia uncinata,50,3
Megachilidae,Osmia xanthomelana,50,1
Megachilidae,Othinosmia schultzei,NA,1
Megachilidae,Proteriades bidenticauda,NA,1
Megachilidae,Proteriades bullifacies,NA,1
Megachilidae,Proteriades mojavensis,NA,1
Megachilidae,Proteriades plagiostoma,NA,1
Megachilidae,Proteriades shoshone,NA,1
Megachilidae,Proteriades zuni,NA,1
Megachilidae,Protosmia minutula,15,2
Megachilidae,Pseudoanthidium eximium,27,1
Megachilidae,Pseudoanthidium melanurum,30,1
Megachilidae,Pseudoanthidium ochrognathum,20,4
Megachilidae,Pseudoanthidium reticulatum,30,1
Megachilidae,Pseudoanthidium scapulare,55,1
Megachilidae,Pseudoanthidium wahrmannicum,20,1
Megachilidae,Rhodanthidium aculeatum,24,1
Megachilidae,Rhodanthidium caturigense,40,4
Megachilidae,Rhodanthidium infuscatum,31,8
Megachilidae,Rhodanthidium septemdentatum,50,7
Megachilidae,Rhodanthidium siculum,30,5
Megachilidae,Rhodanthidium sticticum,35,7
Megachilidae,Rhodanthidium superbum,25,2
Megachilidae,Stenoheriades asiatica,10,1
Megachilidae,Stenoheriades coelostoma,35,1
Megachilidae,Stenoheriades eingeddica,10,1
Megachilidae,Stenoheriades levantica,24,1
Megachilidae,Trachusa byssina,45,2
Megachilidae,Trachusa dumerlei,15,1
Megachilidae,Trachusa interrupta,45,1
Megachilidae,Trachusa laeviventre,25,3
Megachilidae,Trachusa laticeps,16,4
Megachilidae,Trachusa pubescens,31,1
Megachilidae,Wainia eremoplana,50,2
Melittidae,Capicola braunsiana,21,1
Melittidae,Capicola micheneri,16,1
Melittidae,Dasypoda albimana,17,7
Melittidae,Dasypoda albipila,15,2
Melittidae,Dasypoda argentata,53,1
Melittidae,Dasypoda braccata,38,1
Melittidae,Dasypoda cingulata,30,5
Melittidae,Dasypoda crassicornis,30,3
Melittidae,Dasypoda dusmeti,31,1
Melittidae,Dasypoda hirtipes,64,1
Melittidae,Dasypoda maura,21,1
Melittidae,Dasypoda morotei,25,4
Melittidae,Dasypoda oraniensis,17,2
Melittidae,Dasypoda pyriformis,27,1
Melittidae,Dasypoda pyrotrichia,11,1
Melittidae,Dasypoda sinuata,19,2
Melittidae,Dasypoda spinigera,33,1
Melittidae,Dasypoda suripes,30,1
Melittidae,Dasypoda tubera,17,1
Melittidae,Dasypoda visnaga,56,1
Melittidae,Haplomelitta ogilviei,17,2
Melittidae,Melitta dimidiata,NA,1
Melittidae,Melitta haemorrhoidalis,NA,1
Melittidae,Melitta leporina,NA,1
Melittidae,Melitta nigricans,NA,1
Melittidae,Melitta tricincta,NA,1
Melittidae,Samba ogilviei,17,2
Melittidae,Samba spinosa,13,1
