beeFamily,species,Loads,dietFamily
Andrenidae,Andrena spolata,20,1
Andrenidae,Andrena spreta,19,3
Andrenidae,Andrena subopaca,17,4
Andrenidae,Andrena suerinensis,NA,1
Andrenidae,Andrena symphyti,NA,1
Andrenidae,Andrena synadelpha,16,6
Andrenidae,Andrena tebessana,10,1
Andrenidae,Andrena tenuistriata,41,2
Andrenidae,Andrena thoracica,72,6
Andrenidae,Andrena tonkaworum,18,1
Andrenidae,Andrena trimmerana,21,6
Andrenidae,Andrena tuberculifera,15,1
Andrenidae,Andrena vaga,NA,1
Andrenidae,Andrena variabilis,18,5
Andrenidae,Andrena varians,101,2
Andrenidae,Andrena vaulogeri,10,4
Andrenidae,Andrena venerabilis,11,1
Andrenidae,Andrena ventralis,NA,1
Andrenidae,Andrena ventricosa,39,2
Andrenidae,Andrena verticalis,30,2
Andrenidae,Andrena verucunda,15,1
Andrenidae,Andrena vetula,29,1
Andrenidae,Andrena vicina,37,8
Andrenidae,Andrena virginiana,13,2
Andrenidae,Andrena viridescens,NA,1
Andrenidae,Andrena w-scripta,16,6
Andrenidae,Andrena wilkella,73,1
Andrenidae,Andrena ziziae,11,1
Andrenidae,Anthemurgus passiflorae,NA,1
Andrenidae,Arhysosage cactorum,10,1
Andrenidae,Camptopoeum friesei,15,1
Andrenidae,Camptopoeum frontale,11,1
Andrenidae,Camptopoeum sacrum,12,1
Andrenidae,Clavipanurgus punctiventris,10,1
Andrenidae,Flavipanurgus kastiliensis,13,1
Andrenidae,Flavipanurgus venustus,19,1
Andrenidae,Macrotera optuntiae,NA,1
Andrenidae,Macrotera texana,NA,1
Andrenidae,Melitturga clavicornis,NA,1
Andrenidae,Panurginus albopilosus,10,1
Andrenidae,Panurginus herzi,50,1
Andrenidae,Panurginus montanus,50,4
Andrenidae,Panurgus banksianus,NA,1
Andrenidae,Panurgus calcaratus,NA,1
Andrenidae,Panurgus calceatus,10,1
Andrenidae,Panurgus canescens,12,1
Andrenidae,Panurgus cephalotes,28,1
Andrenidae,Panurgus dentipes,NA,1
Andrenidae,Panurgus maroccanus,14,1
Andrenidae,Panurgus perezi,23,1
Andrenidae,Perdita floridensis,NA,1
Andrenidae,Protomeliturga turnerae,10,1
Apidae,Amegilla albigena,13,5
Apidae,Amegilla magnilabris,12,3
Apidae,Ancyloscelis gigas,10,1
Apidae,Anthophora aestivalis,11,5
Apidae,Anthophora atroalba,22,5
Apidae,Anthophora bimaculata,11,4
Apidae,Anthophora diversipes,20,6
Apidae,Anthophora furcata,24,2
Apidae,Anthophora plumipes,20,5
Apidae,Anthophora quadrimaculata,15,4
Apidae,Bombus affinis,46,9
Apidae,Bombus alagesianus,29,5
Apidae,Bombus alpinus,24,8
Apidae,Bombus argillaceus,160,5
Apidae,Bombus armeniacus,57,5
Apidae,Bombus auricomus,52,5
Apidae,Bombus balteatus,18,5
Apidae,Bombus bimaculatus,78,11
Apidae,Bombus bisiculus,62,3
Apidae,Bombus borealis,37,7
Apidae,Bombus brodmannicus,30,5
Apidae,Bombus confusus,53,4
