"","species","total_area"
"161","Andrena pilipes",19827749926303.2
"162","Andrena placata",6478327676583
"163","Andrena platyparia",9957472114675.07
"164","Andrena praecox",19918033348320
"165","Andrena propinqua",9108133644218.83
"166","Andrena proxima",14351234216306.6
"167","Andrena pruni",2556789435630.58
"168","Andrena purpurascens",74633452850.7901
"169","Andrena pusilla",2745193324848.73
"170","Andrena ranunculi",1115192266679.24
"171","Andrena ranunculorum",1171334537963.23
"172","Andrena relata",3633223338.42802
"173","Andrena rhenana",1149806664086.73
"174","Andrena rhyssonota",280503040133.987
"175","Andrena robertsonii",4426901611307.91
"176","Andrena robervalensis",2288561301824.6
"177","Andrena rosae",40759322105920.3
"178","Andrena rudbeckiae",5755148303957.59
"179","Andrena rufosignata",32143901639970.9
"180","Andrena rugosa",4989083268497.94
"181","Andrena rugothorace",77017029716.1757
"182","Andrena russula",15409613487287.6
"183","Andrena salictaria",11590429601295
"184","Andrena sardoa",1405968326592.5
"185","Andrena saxonica",2123957892345.6
"186","Andrena schencki",7557902194913.11
"187","Andrena scotica",7933577181882.73
"188","Andrena semilaevis",14243100856729
"189","Andrena senecionis",855051855645.954
"190","Andrena sigmundi",13151549517480
"191","Andrena simontornyella",1986892990265.97
"192","Andrena simplex",4413626662509.62
"193","Andrena sinuata",17658619145.3386
"194","Andrena spiraeana",5684970796256.87
"195","Andrena spolata",1185387682675.02
"196","Andrena spreta",2937112484524.93
"197","Andrena subopaca",41801302550926.9
"198","Andrena synadelpha",3411109185899.76
"199","Andrena tarsata",8171409241557.45
"200","Andrena tenuistriata",1147824240062.55
"201","Andrena thaspii",30612261394969.3
"202","Andrena thoracica",53507612195389.4
"203","Andrena tibialis",11042707923861.4
"204","Andrena tridens",16312468034322.6
"205","Andrena trimmerana",16586302846910
"206","Andrena truncatilabris",2377857623762.91
"207","Andrena tscheki",1473612272738.99
"208","Andrena tuberculifera",414772142204.747
"209","Andrena tunetana",300941073556.035
"210","Andrena variabilis",4084583343367.03
"211","Andrena varians",4946718230965.77
"212","Andrena ventricosa",1542620582030.26
"213","Andrena verticalis",1558361334151.5
"214","Andrena vetula",1978012804295.84
"215","Andrena vicina",17904297002485.2
