bee_species,bee_genus,bee_family,range_size_m2,pollen_genera_count,pollen_families_count,diet_binary_genus,diet_binary_family,no_records_in_Dorey,bee_family_n,bee_species_original_wood
Lasioglossum imitatum,Lasioglossum,Halictidae,11846887516709,15,10,generalist,generalist,9535,Halictidae (n = 72),Lasioglossum imitatum
Andrena nasonii,Andrena,Andrenidae,12003348193674,18,10,generalist,generalist,6265,Andrenidae (n = 168),Andrena nasonii
Bombus affinis,Bombus,Apidae,12056139897077,22,15,generalist,generalist,10076,Apidae (n = 83),Bombus affinis
Megachile campanulae,Megachile,Megachilidae,12154942317721,5,3,generalist,generalist,1590,Megachilidae (n = 20),Megachile campanulae
Augochlora pura,Augochlora,Halictidae,12227321754337,16,12,generalist,generalist,18202,Halictidae (n = 72),Augochlora pura
Andrena carlini,Andrena,Andrenidae,12266152595799,21,16,generalist,generalist,9710,Andrenidae (n = 168),Andrena carlini
Anthophora aestivalis,Anthophora,Apidae,12425961600921,12,6,generalist,generalist,1567,Apidae (n = 83),Anthophora aestivalis
Lasioglossum pilosum,Lasioglossum,Halictidae,12600084540071,21,14,generalist,generalist,12431,Halictidae (n = 72),Lasioglossum pilosum
Andrena imitatrix,Andrena,Andrenidae,12607386118248,11,7,generalist,generalist,3838,Andrenidae (n = 168),Andrena imitatrix
Bombus melanurus,Bombus,Apidae,12756983462156,16,7,generalist,generalist,48,Apidae (n = 83),Bombus melanurus
Osmia atriventris,Osmia,Megachilidae,12795980370726,8,5,generalist,generalist,2094,Megachilidae (n = 20),Osmia atriventris
Andrena limata,Andrena,Andrenidae,12889684186622,10,7,generalist,generalist,234,Andrenidae (n = 168),Andrena limata
Andrena sigmundi,Andrena,Andrenidae,13151549517480,2,2,generalist,generalist,511,Andrenidae (n = 168),Andrena sigmundi
Bombus monticola,Bombus,Apidae,13208882295876,15,10,generalist,generalist,6780,Apidae (n = 83),Bombus monticola
Andrena bimaculata,Andrena,Andrenidae,13426168564484,21,10,generalist,generalist,846,Andrenidae (n = 168),Andrena bimaculata
Andrena mandibularis,Andrena,Andrenidae,13576989891281,8,7,generalist,generalist,648,Andrenidae (n = 168),Andrena mandibularis
Andrena cressonii,Andrena,Andrenidae,13621701285587,15,11,generalist,generalist,4396,Andrenidae (n = 168),Andrena cressonii
Lasioglossum foxii,Lasioglossum,Halictidae,13693349603821,5,4,generalist,generalist,1209,Halictidae (n = 72),Lasioglossum foxii
Andrena dorsata,Andrena,Andrenidae,13787807360762,42,18,generalist,generalist,7997,Andrenidae (n = 168),Andrena dorsata
Bombus fragrans,Bombus,Apidae,14179197755655,12,6,generalist,generalist,52,Apidae (n = 83),Bombus fragrans
Andrena semilaevis,Andrena,Andrenidae,14243100856729,16,9,generalist,generalist,3436,Andrenidae (n = 168),Andrena semilaevis
Augochloropsis metallica,Augochloropsis,Halictidae,14278182561150,12,9,generalist,generalist,4180,Halictidae (n = 72),Augochloropsis metallica
Bombus confusus,Bombus,Apidae,14374044734103,18,8,generalist,generalist,506,Apidae (n = 83),Bombus confusus
Bombus bimaculatus,Bombus,Apidae,14506558493211,34,22,generalist,generalist,42308,Apidae (n = 83),Bombus bimaculatus
Andrena hippotes,Andrena,Andrenidae,14624400228482,13,9,generalist,generalist,1994,Andrenidae (n = 168),Andrena hippotes
Megachile mendica,Megachile,Megachilidae,14815919532211,7,3,generalist,generalist,5989,Megachilidae (n = 20),Megachile mendica
Andrena labialis,Andrena,Andrenidae,14880696874844,25,10,generalist,generalist,1402,Andrenidae (n = 168),Andrena labialis
Colletes inaequalis,Colletes,Colletidae,14927837279621,7,5,generalist,generalist,5291,Colletidae (n = 10),Colletes inaequalis
Bombus armeniacus,Bombus,Apidae,14940151981669,21,9,generalist,generalist,45,Apidae (n = 83),Bombus armeniacus
Lasioglossum cressonii,Lasioglossum,Halictidae,14987256259695,21,15,generalist,generalist,7897,Halictidae (n = 72),Lasioglossum cressonii
Andrena forbesii,Andrena,Andrenidae,15200710920392,17,11,generalist,generalist,2327,Andrenidae (n = 168),Andrena forbesii
Lasioglossum versans,Lasioglossum,Halictidae,15323484606200,12,10,generalist,generalist,1513,Halictidae (n = 72),Lasioglossum versans
Melissodes agilis,Melissodes,Apidae,15366325816630,2,1,generalist,specialist,4173,Apidae (n = 83),Melissodes agilis
Andrena labiata,Andrena,Andrenidae,15483030332191,28,13,generalist,generalist,3134,Andrenidae (n = 168),Andrena labiata
Heriades carinata,Heriades,Megachilidae,15503682267282,4,4,generalist,generalist,3092,Megachilidae (n = 20),Heriades carinata
Hoplitis producta,Hoplitis,Megachilidae,16094245239314,7,4,generalist,generalist,2461,Megachilidae (n = 20),Hoplitis producta
Melissodes druriellus,Melissodes,Apidae,16103639464997,1,1,genus specialist,specialist,2254,Apidae (n = 83),Melissodes druriellus
Augochlorella aurata,Augochlorella,Halictidae,16191472276038,25,14,generalist,generalist,37260,Halictidae (n = 72),Augochlorella aurata
Lasioglossum laevissimum,Lasioglossum,Halictidae,16300220281539,9,8,generalist,generalist,1684,Halictidae (n = 72),Lasioglossum laevissimum
Lasioglossum leucopus,Lasioglossum,Halictidae,16310542495205,12,7,generalist,generalist,16272,Halictidae (n = 72),Lasioglossum leucopus
Andrena tridens,Andrena,Andrenidae,16312468034323,5,5,generalist,generalist,717,Andrenidae (n = 168),Andrena tridens
Andrena crataegi,Andrena,Andrenidae,16358767572410,13,10,generalist,generalist,6493,Andrenidae (n = 168),Andrena crataegi
Bombus wurflenii,Bombus,Apidae,16529880534780,13,10,generalist,generalist,7767,Apidae (n = 83),Bombus wurflenii
Andrena trimmerana,Andrena,Andrenidae,16586302846910,9,7,generalist,generalist,4424,Andrenidae (n = 168),Andrena trimmerana
Colletes simulans,Colletes,Colletidae,16604808935702,1,1,genus specialist,specialist,1938,Colletidae (n = 10),Colletes simulans
Melissodes bimaculatus,Melissodes,Apidae,16683206435569,4,4,generalist,generalist,11974,Apidae (n = 83),Melissodes bimaculatus
Bombus auricomus,Bombus,Apidae,16928618916988,14,8,generalist,generalist,9416,Apidae (n = 83),Bombus auricomus
Colletes compactus,Colletes,Colletidae,17084355169178,1,1,genus specialist,specialist,1206,Colletidae (n = 10),Colletes compactus
Hoplitis pilosifrons,Hoplitis,Megachilidae,17246601587846,6,2,generalist,generalist,1853,Megachilidae (n = 20),Hoplitis pilosifrons
Halictus maculatus,Halictus,Halictidae,17399740904665,12,7,generalist,generalist,3022,Halictidae (n = 72),Halictus maculatus
Lasioglossum xanthopus,Lasioglossum,Halictidae,17507162120681,16,8,generalist,generalist,1146,Halictidae (n = 72),Lasioglossum xanthopus
Lasioglossum malachurum,Lasioglossum,Halictidae,17643848147288,45,20,generalist,generalist,11314,Halictidae (n = 72),Lasioglossum malachurum
Amegilla albigena,Amegilla,Apidae,17679010121552,8,5,generalist,generalist,586,Apidae (n = 83),Amegilla albigena
Andrena miserabilis,Andrena,Andrenidae,17713802301797,10,6,generalist,generalist,6980,Andrenidae (n = 168),Andrena miserabilis
Bombus pensylvanicus,Bombus,Apidae,17902865057539,19,9,generalist,generalist,48277,Apidae (n = 83),Bombus pensylvanicus
Andrena vicina,Andrena,Andrenidae,17904297002485,19,13,generalist,generalist,4780,Andrenidae (n = 168),Andrena vicina
Andrena nivalis,Andrena,Andrenidae,18446988000722,10,8,generalist,generalist,1493,Andrenidae (n = 168),Andrena nivalis
Bombus griseocollis,Bombus,Apidae,18940273082789,42,22,generalist,generalist,61793,Apidae (n = 83),Bombus griseocollis
Halictus subauratus,Halictus,Halictidae,19195261076370,18,11,generalist,generalist,3242,Halictidae (n = 72),Halictus subauratus
Agapostemon virescens,Agapostemon,Halictidae,19353479959340,8,5,generalist,generalist,23574,Halictidae (n = 72),Agapostemon virescens
Megachile pugnata,Megachile,Megachilidae,19486486315610,6,1,generalist,specialist,2284,Megachilidae (n = 20),Megachile pugnata
Megachile gemula,Megachile,Megachilidae,19602885184877,9,7,generalist,generalist,1207,Megachilidae (n = 20),Megachile gemula
Andrena pilipes,Andrena,Andrenidae,19827749926303,14,7,generalist,generalist,953,Andrenidae (n = 168),Andrena pilipes
Andrena praecox,Andrena,Andrenidae,19918033348320,2,2,generalist,generalist,6872,Andrenidae (n = 168),Andrena praecox
Halictus ligatus,Halictus,Halictidae,20097571788192,19,5,generalist,generalist,44196,Halictidae (n = 72),Halictus ligatus
Anthophora retusa,Anthophora,Apidae,20383989460494,10,6,generalist,generalist,3017,Apidae (n = 83),Anthophora retusa meridionalis
Anthophora bimaculata,Anthophora,Apidae,20527338957130,6,4,generalist,generalist,1780,Apidae (n = 83),Anthophora bimaculata
Bombus impatiens,Bombus,Apidae,20683646887287,49,25,generalist,generalist,143207,Apidae (n = 83),Bombus impatiens
Lasioglossum politum,Lasioglossum,Halictidae,21356834518017,3,3,generalist,generalist,4164,Halictidae (n = 72),Lasioglossum politum
Lasioglossum morio,Lasioglossum,Halictidae,21494792331827,31,19,generalist,generalist,30501,Halictidae (n = 72),Lasioglossum morio
Andrena nigroaenea,Andrena,Andrenidae,21859037856744,36,17,generalist,generalist,11711,Andrenidae (n = 168),Andrena nigroaenea
Osmia bicolor,Osmia,Megachilidae,21925880360470,12,8,generalist,generalist,7042,Megachilidae (n = 20),Osmia bicolor
Lasioglossum fulvicorne,Lasioglossum,Halictidae,22056919201700,14,10,generalist,generalist,13225,Halictidae (n = 72),Lasioglossum fulvicorne
Andrena w-scripta,Andrena,Andrenidae,22543061664428,9,6,generalist,generalist,1832,Andrenidae (n = 168),Andrena w-scripta
Andrena miranda,Andrena,Andrenidae,23001416235710,9,5,generalist,generalist,615,Andrenidae (n = 168),Andrena miranda
Colletes consors,Colletes,Colletidae,23073136890041,6,4,generalist,generalist,445,Colletidae (n = 10),Colletes consors mesoscopus
Andrena helvola,Andrena,Andrenidae,24250074623285,16,11,generalist,generalist,7119,Andrenidae (n = 168),Andrena helvola
Colletes hyalinus,Colletes,Colletidae,24671733642392,7,5,generalist,generalist,753,Colletidae (n = 10),Colletes hyalinus
Bombus vagans,Bombus,Apidae,24777558205919,35,16,generalist,generalist,22807,Apidae (n = 83),Bombus vagans
Andrena nitida,Andrena,Andrenidae,24789645745706,35,21,generalist,generalist,10312,Andrenidae (n = 168),Andrena nitida
Halictus quadricinctus,Halictus,Halictidae,25931500856191,13,5,generalist,generalist,1391,Halictidae (n = 72),Halictus quadricinctus
Bombus cullumanus,Bombus,Apidae,26189564458328,18,11,generalist,generalist,126,Apidae (n = 83),Bombus cullumanus
Andrena nigrihirta,Andrena,Andrenidae,26733549125315,6,5,generalist,generalist,823,Andrenidae (n = 168),Andrena nigrihirta
Megachile inermis,Megachile,Megachilidae,26832685815682,5,3,generalist,generalist,2987,Megachilidae (n = 20),Megachile inermis
Bombus fervidus,Bombus,Apidae,26881678216118,25,12,generalist,generalist,22730,Apidae (n = 83),Bombus fervidus
Trachusa byssina,Trachusa,Megachilidae,26928053229499,8,5,generalist,generalist,5427,Megachilidae (n = 20),Trachusa byssina
Megachile latimanus,Megachile,Megachilidae,27472774401779,17,6,generalist,generalist,3021,Megachilidae (n = 20),Megachile latimanus
Eucera longicornis,Eucera,Apidae,27860858083893,12,3,generalist,generalist,7664,Apidae (n = 83),Eucera longicornis
Andrena algida,Andrena,Andrenidae,28237271634156,3,3,generalist,generalist,346,Andrenidae (n = 168),Andrena algida
Andrena wilkella,Andrena,Andrenidae,28272299018489,21,10,generalist,generalist,12103,Andrenidae (n = 168),Andrena wilkella
Andrena flavipes,Andrena,Andrenidae,28318808488056,86,31,generalist,generalist,27309,Andrenidae (n = 168),Andrena flavipes
Osmia bucephala,Osmia,Megachilidae,28538445038937,8,6,generalist,generalist,2019,Megachilidae (n = 20),Osmia bucephala
Bombus borealis,Bombus,Apidae,28998656976524,16,13,generalist,generalist,7043,Apidae (n = 83),Bombus borealis
Andrena frigida,Andrena,Andrenidae,29816302812070,2,2,generalist,generalist,1542,Andrenidae (n = 168),Andrena frigida
Megachile relativa,Megachile,Megachilidae,30589196341563,5,3,generalist,generalist,2755,Megachilidae (n = 20),Megachile relativa
Andrena thaspii,Andrena,Andrenidae,30612261394969,6,5,generalist,generalist,934,Andrenidae (n = 168),Andrena thaspii
Lasioglossum quebecense,Lasioglossum,Halictidae,30832831554514,12,9,generalist,generalist,2591,Halictidae (n = 72),Lasioglossum quebecense
Andrena bicolor,Andrena,Andrenidae,31726741303691,47,25,generalist,generalist,17616,Andrenidae (n = 168),Andrena bicolor
Bombus ruderarius,Bombus,Apidae,31777347640840,34,15,generalist,generalist,10604,Apidae (n = 83),Bombus ruderarius
Andrena rufosignata,Andrena,Andrenidae,32143901639971,6,6,generalist,generalist,766,Andrenidae (n = 168),Andrena rufosignata
Xylocopa virginica,Xylocopa,Apidae,33866791828875,13,8,generalist,generalist,51392,Apidae (n = 83),Xylocopa virginica
Bombus veteranus,Bombus,Apidae,35128439871472,22,10,generalist,generalist,4414,Apidae (n = 83),Bombus veteranus
Lasioglossum zonulum,Lasioglossum,Halictidae,35242655683090,22,12,generalist,generalist,11750,Halictidae (n = 72),Lasioglossum zonulum
Bombus ternarius,Bombus,Apidae,35384352230436,27,14,generalist,generalist,27150,Apidae (n = 83),Bombus ternarius
Bombus terricola,Bombus,Apidae,35654699740824,26,15,generalist,generalist,21825,Apidae (n = 83),Bombus terricola
Bombus perplexus,Bombus,Apidae,36194242705966,27,16,generalist,generalist,13468,Apidae (n = 83),Bombus perplexus
Halictus confusus,Halictus,Halictidae,36642830443612,23,14,generalist,generalist,15111,Halictidae (n = 72),Halictus confusus
Megachile maritima,Megachile,Megachilidae,39488599589167,12,6,generalist,generalist,1869,Megachilidae (n = 20),Megachile maritima
Megachile centuncularis,Megachile,Megachilidae,39555452110774,23,13,generalist,generalist,7242,Megachilidae (n = 20),Megachile centuncularis
Andrena denticulata,Andrena,Andrenidae,39606382374652,11,3,generalist,generalist,6460,Andrenidae (n = 168),Andrena denticulata
Andrena cineraria,Andrena,Andrenidae,39807613942863,25,16,generalist,generalist,20613,Andrenidae (n = 168),Andrena cineraria
Andrena fucata,Andrena,Andrenidae,39942303964545,17,9,generalist,generalist,5725,Andrenidae (n = 168),Andrena fucata
Andrena subopaca,Andrena,Andrenidae,41801302550927,16,10,generalist,generalist,10572,Andrenidae (n = 168),Andrena subopaca
Colletes kincaidii,Colletes,Colletidae,42669698929301,5,5,generalist,generalist,8155,Colletidae (n = 10),Colletes kincaidii
Lasioglossum calceatum,Lasioglossum,Halictidae,43079149959610,38,21,generalist,generalist,31796,Halictidae (n = 72),Lasioglossum calceatum
Andrena minutula,Andrena,Andrenidae,44414351445768,36,15,generalist,generalist,13154,Andrenidae (n = 168),Andrena minutula
Halictus tumulorum,Halictus,Halictidae,48740774592342,25,14,generalist,generalist,26505,Halictidae (n = 72),Halictus tumulorum
Bombus frigidus,Bombus,Apidae,48766979715579,12,9,generalist,generalist,7393,Apidae (n = 83),Bombus frigidus
Bombus sylvarum,Bombus,Apidae,49151568164626,34,15,generalist,generalist,16198,Apidae (n = 83),Bombus sylvarum
Bombus sichelii,Bombus,Apidae,49688659591615,22,13,generalist,generalist,2960,Apidae (n = 83),Bombus sichelii
Andrena haemorrhoa,Andrena,Andrenidae,51683099924643,38,19,generalist,generalist,44023,Andrenidae (n = 168),Andrena haemorrhoa
Andrena thoracica,Andrena,Andrenidae,53507612195389,37,20,generalist,generalist,1283,Andrenidae (n = 168),Andrena thoracica
Megachile willughbiella,Megachile,Megachilidae,55002003082710,6,3,generalist,generalist,11199,Megachilidae (n = 20),Megachile willughbiella
Bombus soroeensis,Bombus,Apidae,55115355154115,28,17,generalist,generalist,19049,Apidae (n = 83),Bombus soroeensis
Lasioglossum villosulum,Lasioglossum,Halictidae,55213766213178,9,2,generalist,generalist,11330,Halictidae (n = 72),Lasioglossum villosulum
Bombus lapidarius,Bombus,Apidae,55849443943210,9,6,generalist,generalist,166823,Apidae (n = 83),Bombus lapidarius
Anthophora terminalis,Anthophora,Apidae,58004562187653,6,6,generalist,generalist,4193,Apidae (n = 83),Anthophora terminalis
Bombus sporadicus,Bombus,Apidae,61597805811865,7,6,generalist,generalist,2576,Apidae (n = 83),Bombus sporadicus
Bombus muscorum,Bombus,Apidae,64557722697919,20,10,generalist,generalist,8574,Apidae (n = 83),Bombus muscorum
Andrena barbilabris,Andrena,Andrenidae,66923846771721,28,12,generalist,generalist,10343,Andrenidae (n = 168),Andrena barbilabris
Lasioglossum leucozonium,Lasioglossum,Halictidae,66993942601768,19,6,generalist,generalist,17030,Halictidae (n = 72),Lasioglossum leucozonium
Bombus lucorum,Bombus,Apidae,74281489433796,14,11,generalist,generalist,87064,Apidae (n = 83),Bombus lucorum
Bombus pascuorum,Bombus,Apidae,75534113450248,16,8,generalist,generalist,307511,Apidae (n = 83),Bombus pascuorum
Andrena clarkella,Andrena,Andrenidae,75854003954088,1,1,genus specialist,specialist,12607,Andrenidae (n = 168),Andrena clarkella
Bombus lapponicus,Bombus,Apidae,77336319549046,14,8,generalist,generalist,4556,Apidae (n = 83),Bombus lapponicus
Bombus subterraneus,Bombus,Apidae,77450751174837,27,9,generalist,generalist,4994,Apidae (n = 83),Bombus subterraneus
Bombus ruderatus,Bombus,Apidae,87811006186606,21,13,generalist,generalist,3754,Apidae (n = 83),Bombus ruderatus
Bombus distinguendus,Bombus,Apidae,94166530737543,16,10,generalist,generalist,4387,Apidae (n = 83),Bombus distinguendus
Halictus rubicundus,Halictus,Halictidae,100874580987098,22,14,generalist,generalist,28745,Halictidae (n = 72),Halictus rubicundus
Bombus hortorum,Bombus,Apidae,104148526431609,10,6,generalist,generalist,59875,Apidae (n = 83),Bombus hortorum
Bombus terrestris,Bombus,Apidae,140453031578357,8,6,generalist,generalist,190780,Apidae (n = 83),Bombus terrestris
Bombus balteatus,Bombus,Apidae,174339507748236,20,9,generalist,generalist,4118,Apidae (n = 83),Bombus balteatus
Bombus hypnorum,Bombus,Apidae,219390503984377,26,18,generalist,generalist,169601,Apidae (n = 83),Bombus hypnorum
