"","species_original","species","plant_fam_count","plant_gen_count","bee_family","bee_genus","...1","total_area","area","log_fam","log_gen","log_area","bee_family_n","area_ha","log_area_ha","area_km","log_area_km"
"23","Andrena assimilis","Andrena assimilis",11,12,"Andrenidae","Andrena",29,988547999094.456,988547999094.456,2.39789527279837,2.484906649788,27.619503035884,"Andrenidae (n = 168)",98854799.9094456,18.4091626639078,988547.999094456,13.8039924779197
"24","Andrena barbilabris","Andrena barbilabris",12,28,"Andrenidae","Andrena",30,66923846771721.2,66923846771721.2,2.484906649788,3.3322045101752,31.834576473535,"Andrenidae (n = 168)",6692384677.17212,22.6242361015588,66923846.7717212,18.0190659155707
"25","Andrena bicolor","Andrena bicolor",25,47,"Andrenidae","Andrena",32,31726741303691.3,31726741303691.3,3.2188758248682,3.85014760171006,31.0881810154519,"Andrenidae (n = 168)",3172674130.36913,21.8778406434758,31726741.3036913,17.2726704574877
"26","Andrena bicolorata","Andrena bicolorata",1,2,"Andrenidae","Andrena",33,1222817061049.24,1222817061049.24,0,0.693147180559945,27.8321783793103,"Andrenidae (n = 168)",122281706.104924,18.6218380073342,1222817.06104924,14.0166678213461
"27","Andrena bimaculata","Andrena bimaculata",10,21,"Andrenidae","Andrena",34,13426168564484.2,13426168564484.2,2.30258509299405,3.04452243772342,30.2282267964448,"Andrenidae (n = 168)",1342616856.44842,21.0178864244686,13426168.5644842,16.4127162384805
"28","Andrena bisalicis","Andrena bisalicis",2,2,"Andrenidae","Andrena",35,5516233921261.06,5516233921261.06,0.693147180559945,0.693147180559945,29.3387164827307,"Andrenidae (n = 168)",551623392.126106,20.1283761107546,5516233.92126106,15.5232059247665
"29","Andrena biskrensis","Andrena biskrensis",5,6,"Andrenidae","Andrena",36,39166754361.9812,39166754361.9812,1.6094379124341,1.79175946922805,24.3910941208893,"Andrenidae (n = 168)",3916675.43619812,15.1807537489131,39166.7543619812,10.575583562925
"30","Andrena blanda","Andrena blanda",1,1,"Andrenidae","Andrena",37,134162477610.97,134162477610.97,0,0,25.6223174218741,"Andrenidae (n = 168)",13416247.761097,16.4119770498979,134162.47761097,11.8068068639098
"31","Andrena boyerella","Andrena boyerella",1,2,"Andrenidae","Andrena",38,27646474936.5542,27646474936.5542,0,0.693147180559945,24.0427640680552,"Andrenidae (n = 168)",2764647.49365542,14.832423696079,27646.4749365542,10.2272535100909
"32","Andrena bradleyi","Andrena bradleyi",1,1,"Andrenidae","Andrena",39,4514316028851.8,4514316028851.8,0,0,29.1382748026955,"Andrenidae (n = 168)",451431602.88518,19.9279344307194,4514316.0288518,15.3227642447313
"33","Andrena brevipalpis","Andrena brevipalpis",2,1,"Andrenidae","Andrena",40,6255060225643.06,6255060225643.06,0.693147180559945,0,29.4644118882012,"Andrenidae (n = 168)",625506022.564306,20.2540715162251,6255060.22564306,15.648901330237
"34","Andrena bucephala","Andrena bucephala",4,5,"Andrenidae","Andrena",41,1746025034069.02,1746025034069.02,1.38629436111989,1.6094379124341,28.1883629111979,"Andrenidae (n = 168)",174602503.406902,18.9780225392218,1746025.03406902,14.3728523532337
"35","Andrena canadensis","Andrena canadensis",1,1,"Andrenidae","Andrena",42,9859209983050.21,9859209983050.21,0,0,29.9194271579101,"Andrenidae (n = 168)",985920998.305021,20.709086785934,9859209.98305021,16.1039165999459
"36","Andrena carlini","Andrena carlini",16,21,"Andrenidae","Andrena",43,12266152595799.4,12266152595799.4,2.77258872223978,3.04452243772342,30.137864763606,"Andrenidae (n = 168)",1226615259.57994,20.9275243916298,12266152.5957994,16.3223542056418
