beeFamily,species,Loads,dietFamily,area,count_in_Dorey
Andrenidae,Andrena numida,14,2,171416510929,16
Andrenidae,Andrena nycthemera,NA,1,12782485049254,755
Andrenidae,Andrena ovatula,27,1,10175279587292,5559
Andrenidae,Andrena oviventris,28,1,78680237431,35
Andrenidae,Andrena pallitarsis,NA,1,1200186414170,59
Andrenidae,Andrena pandosa,21,1,306581153210,8
Andrenidae,Andrena pauxilla,11,2,51290361721,7
Andrenidae,Andrena perplexa,10,10,10170543453009,3674
Andrenidae,Andrena pilipes,31,5,19827749926303,953
Andrenidae,Andrena placata,29,1,6478327676583,593
Andrenidae,Andrena polita,NA,1,8623487889735,213
Andrenidae,Andrena potentillae,NA,1,2401554327454,127
Andrenidae,Andrena praecox,21,1,19918033348320,6872
Andrenidae,Andrena propinqua,43,6,9108133644219,767
Andrenidae,Andrena ranunculorum,17,5,1171334537963,53
Andrenidae,Andrena robertsonii,10,3,4426901611308,780
Andrenidae,Andrena rogenhoferi,50,9,479873999543,206
Andrenidae,Andrena rosae,92,4,40759322105920,1932
Andrenidae,Andrena rudbeckiae,28,1,5755148303958,559
Andrenidae,Andrena ruficrus,NA,1,43569778818019,3244
Andrenidae,Andrena rufizona,NA,1,1811139234917,320
Andrenidae,Andrena rufosignata,18,4,32143901639971,766
Andrenidae,Andrena rugosa,16,9,4989083268498,1962
Andrenidae,Andrena russula,NA,1,15409613487288,1247
Andrenidae,Andrena sardoa,10,1,1405968326593,24
Andrenidae,Andrena saxonica,67,1,2123957892346,101
Andrenidae,Andrena scotica,63,6,7933577181883,7856
Andrenidae,Andrena semilaevis,98,2,14243100856729,3436
Andrenidae,Andrena senecionis,21,1,855051855646,79
Andrenidae,Andrena senticulosa,19,1,25890812010,34
Andrenidae,Andrena simillima,10,7,1327210382748,100
Andrenidae,Andrena simplex,20,1,4413626662510,517
Andrenidae,Andrena spiraeana,13,5,5684970796257,678
Andrenidae,Andrena spolata,20,1,1185387682675,31
Andrenidae,Andrena spreta,19,3,2937112484525,89
Andrenidae,Andrena subopaca,17,4,41801302550927,10572
Andrenidae,Andrena suerinensis,NA,1,2297052105068,87
Andrenidae,Andrena symphyti,NA,1,2548940551341,51
Andrenidae,Andrena synadelpha,16,6,3411109185900,339
Andrenidae,Andrena tenuistriata,41,2,1147824240063,97
Andrenidae,Andrena thoracica,72,6,53507612195389,1283
Andrenidae,Andrena tonkaworum,18,1,726907793756,55
Andrenidae,Andrena trimmerana,21,6,16586302846910,4424
Andrenidae,Andrena tuberculifera,15,1,414772142205,22
Andrenidae,Andrena vaga,NA,1,30187593776473,26832
Andrenidae,Andrena variabilis,18,5,4084583343367,116
Andrenidae,Andrena varians,101,2,4946718230966,607
Andrenidae,Andrena ventralis,NA,1,31610546661826,3881
Andrenidae,Andrena ventricosa,39,2,1542620582030,29
Andrenidae,Andrena verticalis,30,2,1558361334152,125
Andrenidae,Andrena vetula,29,1,1978012804296,45
Andrenidae,Andrena vicina,37,8,17904297002485,4780
Andrenidae,Andrena virginiana,13,2,5288385688782,380
Andrenidae,Andrena viridescens,NA,1,5786061499244,1023
Andrenidae,Andrena w-scripta,16,6,22543061664428,1832
Andrenidae,Andrena wilkella,73,1,28272299018489,12103
Andrenidae,Andrena ziziae,11,1,6494906729579,1511
Andrenidae,Arhysosage cactorum,10,1,131998093778,210
Andrenidae,Camptopoeum friesei,15,1,500677212138,132
Andrenidae,Camptopoeum frontale,11,1,2328842401666,126
Andrenidae,Camptopoeum sacrum,12,1,22963336116,4
Andrenidae,Clavipanurgus punctiventris,10,1,63370660081,21
Andrenidae,Flavipanurgus kastiliensis,13,1,9591870155,7
Andrenidae,Macrotera texana,NA,1,830884951031,122
Andrenidae,Melitturga clavicornis,NA,1,21789776926629,615
Andrenidae,Panurginus albopilosus,10,1,923439272657,10
Andrenidae,Panurginus herzi,50,1,384050096659,249
Andrenidae,Panurginus montanus,50,4,215846259212,336
Andrenidae,Panurgus banksianus,NA,1,6178682996049,3364
Andrenidae,Panurgus calcaratus,NA,1,22152855275238,7941
Andrenidae,Panurgus canescens,12,1,544561470020,13
Andrenidae,Panurgus cephalotes,28,1,295058008016,9
Andrenidae,Panurgus dentipes,NA,1,2269809990199,1072
Andrenidae,Panurgus maroccanus,14,1,94985061056,86
Andrenidae,Panurgus perezi,23,1,101465017501,5
Andrenidae,Perdita floridensis,NA,1,324107697428,117
Andrenidae,Protomeliturga turnerae,10,1,636102542893,179
Apidae,Amegilla albigena,13,5,17679010121552,586
Apidae,Anthophora aestivalis,11,5,12425961600921,1567
Apidae,Anthophora atroalba,22,5,11195740711159,63
Apidae,Anthophora bimaculata,11,4,20527338957130,1780
Apidae,Anthophora diversipes,20,6,111416698778,89
Apidae,Anthophora furcata,24,2,36202854485224,5467
Apidae,Anthophora plumipes,20,5,60330514331585,27373
Apidae,Anthophora quadrimaculata,15,4,15090970190689,3870
Apidae,Bombus affinis,46,9,12056139897077,10076
Apidae,Bombus alpinus,24,8,10387721217680,1496
Apidae,Bombus argillaceus,160,5,10210274041403,1179
Apidae,Bombus armeniacus,57,5,14940151981669,45
Apidae,Bombus auricomus,52,5,16928618916988,9416
Apidae,Bombus balteatus,18,5,174339507748236,4118
Apidae,Bombus bimaculatus,78,11,14506558493211,42308
Apidae,Bombus borealis,37,7,28998656976524,7043
Apidae,Bombus brodmannicus,30,5,146397735.3,9
Apidae,Bombus confusus,53,4,14374044734103,506
Apidae,Bombus cullumanus,20,6,26189564458328,126
Apidae,Bombus distinguendus,53,3,94166530737543,4387
Apidae,Bombus fervidus,66,6,26881678216118,22730
Apidae,Bombus fragrans,30,5,14179197755655,52
Apidae,Bombus frigidus,19,5,48766979715579,7393
Apidae,Bombus griseocollis,86,10,18940273082789,61793
Apidae,Bombus haematurus,15,5,7669760032084,284
Apidae,Bombus hortorum,103,10,104148526431609,59875
Apidae,Bombus humilis,71,7,47523398535635,18231
Apidae,Bombus hypnorum,39,12,219390503984377,169601
Apidae,Bombus impatiens,152,9,20683646887287,143207
Apidae,Bombus incertus,57,7,227697418537,8
Apidae,Bombus lapidarius,142,4,55849443943210,166823
Apidae,Bombus lapponicus,50,6,77336319549046,4556
Apidae,Bombus lucorum,19,7,74281489433796,87064
Apidae,Bombus melanurus,23,5,12756983462156,48
Apidae,Bombus mendax,54,4,472250933254,1265
Apidae,Bombus mesomelas,109,5,4753314779189,1943
Apidae,Bombus monticola,41,5,13208882295876,6780
Apidae,Bombus mucidus,33,3,1112517792828,992
Apidae,Bombus muscorum,53,6,64557722697919,8574
Apidae,Bombus niveatus,67,3,2394371486272,82
Apidae,Bombus pascuorum,162,7,75534113450248,307511
Apidae,Bombus pensylvanicus,41,3,17902865057539,48277
Apidae,Bombus perplexus,59,12,36194242705966,13468
Apidae,Bombus pomorum,144,5,8535264746004,647
Apidae,Bombus pratorum,98,13,36791566414866,113144
Apidae,Bombus ruderarius,96,4,31777347640840,10604
Apidae,Bombus ruderatus,36,5,87811006186606,3754
Apidae,Bombus rufocinctus,39,10,34868542649579,18411
Apidae,Bombus sichelii,84,7,49688659591615,2960
Apidae,Bombus soroeensis,104,9,55115355154115,19049
Apidae,Bombus sporadicus,12,6,61597805811865,2576
Apidae,Bombus subterraneus,154,5,77450751174837,4994
Apidae,Bombus sylvarum,112,7,49151568164626,16198
Apidae,Bombus ternarius,62,6,35384352230436,27150
Apidae,Bombus terrestris,166,12,140453031578357,190780
Apidae,Bombus terricola,65,10,35654699740824,21825
Apidae,Bombus vagans,80,6,24777558205919,22807
Apidae,Bombus veteranus,69,7,35128439871472,4414
Apidae,Bombus wurflenii,87,6,16529880534780,7767
Apidae,Bombus zonatus,47,5,2292775431135,119
Apidae,Centris nitida,41,9,4435574418253,1072
Apidae,Ceratina calcarata,29,8,9543188778048,14476
Apidae,Ceratina dupla,15,9,9106437276563,6687
Apidae,Ceratina mikmaqi,24,6,4822625015882,4024
Apidae,Chalepogenus cocuccii,17,3,195684994614,59
Apidae,Diadasia angusticeps,16,1,322079727859,109
Apidae,Diadasia diminuta,25,3,10298055441774,5369
Apidae,Diadasia enavata,21,1,8604125378815,2151
Apidae,Diadasia laticauda,17,1,204153399393,342
Apidae,Diadasia nigrifrons,36,1,2602782284209,412
Apidae,Diadasia ochracea,20,1,4632534498013,3421
Apidae,Diadasia sphaeralcearum,23,1,2410679300116,410
Apidae,Diadasia tropicalis,14,1,2732602568307,152
Apidae,Diadasia vallicola,20,1,1689205493648,543
Apidae,Diadasina riparia,NA,1,3752559193297,166
Apidae,Eucera alternans,10,6,952265657939,6
Apidae,Eucera caspica,11,3,1355751315026,30
Apidae,Eucera clypeata,36,7,5129531167993,63
Apidae,Eucera elongatula,42,6,565863408847,24
