beeFamily,species,Loads,dietFamily,area,count_in_Dorey
Megachilidae,Chelostoma diodon,36,1,15317282523,14
Megachilidae,Chelostoma distinctum,18,1,12475333791160,903
Megachilidae,Chelostoma emarginatum,32,1,4822355288386,72
Megachilidae,Chelostoma florisomne,46,1,13041069667240,8958
Megachilidae,Chelostoma foveolatum,15,1,1866962378707,84
Megachilidae,Chelostoma grande,20,1,344129616303,344
Megachilidae,Chelostoma incisulum,29,2,197495652138,99
Megachilidae,Chelostoma minutum,18,2,1851610034371,483
Megachilidae,Chelostoma mocsaryi,56,1,118727013399,9
Megachilidae,Chelostoma phaceliae,46,1,1352591086066,563
Megachilidae,Chelostoma philadelphi,21,1,3637593158253,1044
Megachilidae,Chelostoma rapunculi,36,1,41933098120484,9111
Megachilidae,Chelostoma ventrale,34,1,1569011454487,6
Megachilidae,Eoanthidium clypeare,22,7,1208355165,4
Megachilidae,Eoanthidium insulare,25,7,44073737250,9
Megachilidae,Haetosmia circumventa,54,1,2478023151425,42
Megachilidae,Heriades carinata,10,3,15503682267282,3092
Megachilidae,Hoplitis adunca,50,1,9551806064427,3673
Megachilidae,Hoplitis annulata,50,1,2738532115571,36
Megachilidae,Hoplitis anthocopoides,50,1,9003458961632,543
Megachilidae,Hoplitis benoisti,57,1,309278665826,89
Megachilidae,Hoplitis bihamata,22,3,12209402621,26
Megachilidae,Hoplitis carinata,50,1,73628098568,12
Megachilidae,Hoplitis cristatula,NA,1,407037478220,70
Megachilidae,Hoplitis fertoni,53,1,110873013184,10
Megachilidae,Hoplitis lepeletieri,50,1,276288584146,744
Megachilidae,Hoplitis loti,38,3,229201789821,766
Megachilidae,Hoplitis manicata,68,1,1320499626412,36
Megachilidae,Hoplitis mitis,NA,1,2237743159515,1021
Megachilidae,Hoplitis pallicornis,50,3,629730759168,25
Megachilidae,Hoplitis pici,22,1,36882626721,7
Megachilidae,Hoplitis pilosifrons,12,2,17246601587846,1853
Megachilidae,Hoplitis praestans,13,1,1636929930933,47
Megachilidae,Hoplitis ravouxi,34,3,1883710630801,386
Megachilidae,Hoplitis robusta,41,3,51607710384302,663
Megachilidae,Hoplitis tuberculata,87,2,5730244128089,1553
Megachilidae,Hoplitis villosa,50,3,1724423537129,590
Megachilidae,Icteranthidium fedtschenkoi,20,1,11270392975,4
Megachilidae,Icteranthidium ferrugineum,35,9,16624318639593,48
Megachilidae,Icteranthidium grohmanni,42,7,2444755162770,127
Megachilidae,Icteranthidium laterale,51,5,9563864007305,355
Megachilidae,Lithurgus chrysurus,11,1,17436333223195,493
Megachilidae,Megachile alpicola,50,6,6380469143591,1709
Megachilidae,Megachile analis,50,3,40818811149219,1274
Megachilidae,Megachile apicalis,30,4,34793852906349,805
Megachilidae,Megachile centuncularis,15,8,39555452110774,7242
Megachilidae,Megachile flabellipes,30,1,210003214789,55
Megachilidae,Megachile latimanus,25,2,27472774401779,3021
Megachilidae,Megachile maritima,14,4,39488599589167,1869
Megachilidae,Megachile mendica,14,3,14815919532211,5989
Megachilidae,Megachile nigriventris,NA,1,9274492055626,1148
Megachilidae,Megachile pilicrus,45,1,4631593701812,160
Megachilidae,Megachile rotundata,300,2,148567967474492,5248
Megachilidae,Osmia alticola,16,1,104522599858,49
Megachilidae,Osmia anceyi,26,1,369059301584,62
Megachilidae,Osmia andrenoides,47,6,6107337590836,398
Megachilidae,Osmia apicata,52,1,1678655650295,21
Megachilidae,Osmia argyropyga,30,1,97615016853,13
Megachilidae,Osmia atriventris,19,5,12795980370726,2094
Megachilidae,Osmia aurulenta,26,2,9599853623956,6059
Megachilidae,Osmia avosetta,38,1,13582660955,41
Megachilidae,Osmia balearica,13,1,9084704509,21
Megachilidae,Osmia bicornis,50,10,36359912255141,45020
Megachilidae,Osmia bidentata,62,1,3935975039018,45
Megachilidae,Osmia brevis,46,1,7668975936698,1604
Megachilidae,Osmia bucephala,14,4,28538445038937,2019
Megachilidae,Osmia caerulescens,22,2,119944980878859,7307
Megachilidae,Osmia californica,28,1,4076994415989,1806
Megachilidae,Osmia carbo,23,1,2041461106,17
Megachilidae,Osmia cerinthidis,52,2,5846220213439,74
Megachilidae,Osmia conjuncta,13,3,3847750917234,482
Megachilidae,Osmia cornifrons,28,6,28109394956122,2057
Megachilidae,Osmia cornuta,50,6,12828503421310,29693
Megachilidae,Osmia croatica,30,1,640902988507,16
Megachilidae,Osmia difficilis,27,1,1457967806094,22
Megachilidae,Osmia distinguenda,34,1,13022265422,16
Megachilidae,Osmia emarginata,24,4,152770073064,12
Megachilidae,Osmia excavata,19,5,453842304313,14
Megachilidae,Osmia fedtschenkoi,22,3,10045890.52,6
Megachilidae,Osmia gallarum,NA,1,4210880557238,518
Megachilidae,Osmia inermis,50,2,93787559573328,657
Megachilidae,Osmia labialis,50,1,493698118748,190
Megachilidae,Osmia laticeps,NA,1,52735587130656,179
Megachilidae,Osmia lignaria,50,5,17963553998667,11039
Megachilidae,Osmia ligurica,50,1,2399785446714,77
Megachilidae,Osmia melanocephala,12,4,113893568428,5
Megachilidae,Osmia montana,27,1,7398315125903,1726
Megachilidae,Osmia mustelina,50,4,5626401545343,476
Megachilidae,Osmia nigriventris,50,4,93994788642130,888
Megachilidae,Osmia nigrohirta,27,6,42014393194,6
Megachilidae,Osmia niveata,NA,1,10136307154000,1066
Megachilidae,Osmia padri,30,1,6250173433,4
Megachilidae,Osmia parietina,50,2,44027977416717,1735
Megachilidae,Osmia pedicornis,32,6,2304403211012,16
Megachilidae,Osmia pilicornis,52,4,5527789945476,731
Megachilidae,Osmia pinguis,19,1,301894363604,22
Megachilidae,Osmia pumila,17,5,6159886784854,5810
Megachilidae,Osmia rhodoensis,38,3,61055311746,5
Megachilidae,Osmia ribifloris,50,5,5969074035131,1657
Megachilidae,Osmia scheherazade,18,1,6475155.312,12
Megachilidae,Osmia scutellaris,50,1,881640016660,91
Megachilidae,Osmia spinigera,29,1,786895016592,10
Megachilidae,Osmia spinulosa,15,1,18553544695761,3062
Megachilidae,Osmia steinmanni,15,2,21708568229,17
Megachilidae,Osmia taurus,12,8,28626444262630,2773
Megachilidae,Osmia tergestensis,40,1,3032998647328,151
Megachilidae,Osmia tricornis,50,5,2474955947880,123
Megachilidae,Osmia uncicornis,24,1,27544305522,6
Megachilidae,Osmia uncinata,50,3,46612613169607,1154
Megachilidae,Osmia xanthomelana,50,1,5638412568993,1031
Megachilidae,Othinosmia schultzei,NA,1,222570588084,107
Megachilidae,Protosmia minutula,15,2,353370461972,74
Megachilidae,Pseudoanthidium eximium,27,1,2148303175668,6
Megachilidae,Pseudoanthidium melanurum,30,1,3806569397865,27
Megachilidae,Pseudoanthidium reticulatum,30,1,597457542178,14
Megachilidae,Pseudoanthidium scapulare,55,1,2431030751762,54
Megachilidae,Rhodanthidium caturigense,40,4,907622486486,140
Megachilidae,Rhodanthidium infuscatum,31,8,676050430017,67
Megachilidae,Rhodanthidium septemdentatum,50,7,6408097061967,1016
Megachilidae,Rhodanthidium siculum,30,5,1098063457138,19
Megachilidae,Rhodanthidium sticticum,35,7,1286096859882,445
Megachilidae,Stenoheriades asiatica,10,1,2267158880,5
Megachilidae,Stenoheriades coelostoma,35,1,3900972068,17
Megachilidae,Trachusa byssina,45,2,26928053229499,5427
Megachilidae,Trachusa dumerlei,15,1,264546818323,16
Megachilidae,Trachusa interrupta,45,1,2001128255298,224
Megachilidae,Trachusa pubescens,31,1,883041646101,8
Megachilidae,Wainia eremoplana,50,2,12520252571,4
Melittidae,Capicola micheneri,16,1,146924842483,26
Melittidae,Dasypoda argentata,53,1,37222933561303,756
Melittidae,Dasypoda braccata,38,1,1317227143385,13
Melittidae,Dasypoda cingulata,30,5,912554612636,15
Melittidae,Dasypoda crassicornis,30,3,700646379938,28
Melittidae,Dasypoda dusmeti,31,1,325787296481,6
Melittidae,Dasypoda hirtipes,64,1,39093838274370,22997
Melittidae,Dasypoda maura,21,1,14102801764,6
Melittidae,Dasypoda morotei,25,4,198531685926,13
Melittidae,Dasypoda sinuata,19,2,666301781789,7
Melittidae,Dasypoda spinigera,33,1,138660889229,56
Melittidae,Dasypoda visnaga,56,1,744904893491,24
Melittidae,Melitta dimidiata,NA,1,6272904387673,323
Melittidae,Melitta haemorrhoidalis,NA,1,10472629871067,5879
Melittidae,Melitta leporina,NA,1,30977139352969,4925
Melittidae,Melitta nigricans,NA,1,9188174041663,4163
Melittidae,Melitta tricincta,NA,1,5827073658621,1305
Melittidae,Samba ogilviei,17,2,50222588612,182
