"","species","total_area","count"
"126","Andrena polita",8623487889735.06,213
"127","Andrena potentillae",2401554327453.69,127
"128","Andrena praecox",19918033348320,6872
"129","Andrena propinqua",9108133644218.83,767
"130","Andrena ranunculorum",1171334537963.23,53
"131","Andrena robertsonii",4426901611307.91,780
"132","Andrena rogenhoferi",479873999543.297,206
"133","Andrena rosae",40759322105920.3,1932
"134","Andrena rudbeckiae",5755148303957.59,559
"135","Andrena ruficrus",43569778818018.9,3244
"136","Andrena rufizona",1811139234917.04,320
"137","Andrena rufosignata",32143901639970.9,766
"138","Andrena rugosa",4989083268497.94,1962
"139","Andrena russula",15409613487287.6,1247
"140","Andrena sardoa",1405968326592.5,24
"141","Andrena saxonica",2123957892345.6,101
"142","Andrena scotica",7933577181882.73,7856
"143","Andrena semilaevis",14243100856729,3436
"144","Andrena senecionis",855051855645.954,79
"145","Andrena senticulosa",25890812009.6683,34
"146","Andrena simillima",1327210382747.99,100
"147","Andrena simplex",4413626662509.62,517
"148","Andrena spiraeana",5684970796256.87,678
"149","Andrena spolata",1185387682675.02,31
"150","Andrena spreta",2937112484524.93,89
"151","Andrena subopaca",41801302550926.9,10572
"152","Andrena suerinensis",2297052105068.08,87
"153","Andrena symphyti",2548940551340.99,51
"154","Andrena synadelpha",3411109185899.76,339
"155","Andrena tenuistriata",1147824240062.55,97
"156","Andrena thoracica",53507612195389.4,1283
"157","Andrena tonkaworum",726907793755.661,55
"158","Andrena trimmerana",16586302846910,4424
"159","Andrena tuberculifera",414772142204.747,22
"160","Andrena vaga",30187593776473.2,26832
"161","Andrena variabilis",4084583343367.03,116
"162","Andrena varians",4946718230965.77,607
"163","Andrena ventralis",31610546661825.7,3881
"164","Andrena ventricosa",1542620582030.26,29
"165","Andrena verticalis",1558361334151.5,125
"166","Andrena vetula",1978012804295.84,45
"167","Andrena vicina",17904297002485.2,4780
"168","Andrena virginiana",5288385688782.46,380
"169","Andrena viridescens",5786061499243.98,1023
"170","Andrena w-scripta",22543061664427.8,1832
"171","Andrena wilkella",28272299018488.7,12103
"172","Andrena ziziae",6494906729578.55,1511
"173","Anthidiellum breviusculum",757292122765.336,10
"174","Anthidiellum strigatum",27657627164697,3320
"175","Anthidium anguliventre",3559547.74992015,14
"176","Anthidium cingulatum",15523740712467.4,263
"177","Anthidium dalmaticum",893935521.050415,4
"178","Anthidium diadema",3651758211572.84,40
"179","Anthidium echinatum",91961683311.136,16
"180","Anthidium florentinum",41510662339040.1,2432
"181","Anthidium loti",6106016273026.19,165
"182","Anthidium manicatum",150868679995664,24930
"183","Anthidium montanum",325248611939.484,225
"184","Anthidium oblongatum",32958942406999.9,6030
"185","Anthidium punctatum",31732663686140.5,5478
"186","Anthidium septemspinosum",41565126120125.6,554
"187","Anthidium spiniventre",3236523461.97514,10
"188","Anthidium taeniatum",3659650599220.73,55
"189","Anthidium tesselatum",71419458935.0693,10
"190","Anthidium undulatum",706282931120.301,5
"191","Anthophora aestivalis",12425961600920.7,1567
