"","species","total_area","count"
"604","Protomeliturga turnerae",636102542892.8,179
"605","Protosmia minutula",353370461972.112,74
"606","Pseudoanthidium eximium",2148303175668.1,6
"607","Pseudoanthidium melanurum",3806569397864.6,27
"608","Pseudoanthidium reticulatum",597457542178.076,14
"609","Pseudoanthidium scapulare",2431030751762.04,54
"610","Ptilothrix bombiformis",4623740559760.22,4658
"611","Ptilothrix plumata",2455513532075.39,29
"612","Rhodanthidium caturigense",907622486485.733,140
"613","Rhodanthidium infuscatum",676050430017.357,67
"614","Rhodanthidium septemdentatum",6408097061966.88,1016
"615","Rhodanthidium siculum",1098063457138.18,19
"616","Rhodanthidium sticticum",1286096859882.12,445
"617","Rophites algirus",6802895099267.53,369
"618","Rophites quinquespinosus",10948119106266.1,163
"619","Samba ogilviei",50222588611.8267,182
"620","Scrapter niger",334696121528.534,143
"621","Scrapter nitidus",846632091893.589,468
"622","Stenoheriades asiatica",2267158879.81824,5
"623","Stenoheriades coelostoma",3900972067.88321,17
"624","Systropha curvicornis",4829630114877.67,222
"625","Systropha planidens",12428883403597.2,129
"626","Trachusa byssina",26928053229499,5427
"627","Trachusa dumerlei",264546818322.53,16
"628","Trachusa interrupta",2001128255298.15,224
"629","Trachusa pubescens",883041646100.534,8
"630","Wainia eremoplana",12520252570.8787,4
"631","Xenoglossa angustior",2596331384088.35,232
"632","Xenoglossa patricia",1081131321700.52,124
"633","Xenoglossa strenua",8962642127128.94,515
"634","Xylocopa virginica",33866791828874.6,51392
